source_field,source_number,source_id,ra_deg,dec_deg,peak_flux,snr,noise_level,peak_x_pix,peak_y_pix,npix
G008.672-00.682,4123,G008.672-00.682_4123,271.89562688804307,-21.79004976180654,0.0003712140314746648,15.457079901696158,2.401579301106739e-05,67,0,203
G008.672-00.682,4188,G008.672-00.682_4188,271.8956795388137,-21.790049759095655,0.002643988002091646,110.09372044775687,2.401579301106739e-05,23,0,516
G008.872-00.492,3750,G008.872-00.492_3750,271.8223756495735,-21.522999865306563,0.0002420753735350445,10.061264386144318,2.4060134416944064e-05,55,0,84
G008.872-00.492,4292,G008.872-00.492_4292,271.8224353693685,-21.52299986226123,0.0007694862433709204,31.981793203491783,2.4060134416944064e-05,5,0,7
G008.872-00.492,4301,G008.872-00.492_4301,271.82238520474067,-21.522999864820743,0.002668817527592182,110.92280206517462,2.4060134416944064e-05,47,0,138
G008.872-00.492,4422,G008.872-00.492_4422,271.82227532031783,-21.52299987037494,0.0005708859534934163,23.727463180395894,2.4060134416944064e-05,139,0,188
G009.213-00.202,973,G009.213-00.202_973,271.72873786484536,-21.08231109801302,0.00035445374669507146,14.759956372334395,2.4014552465713826e-05,6,0,8
G009.213-00.202,985,G009.213-00.202_985,271.7287414373024,-21.08231109783377,0.0005988679477013648,24.93771010541976,2.4014552465713826e-05,3,0,5
G009.213-00.202,986,G009.213-00.202_986,271.72857353181956,-21.082311106177684,0.0011949313338845968,49.75863429437754,2.4014552465713826e-05,144,0,174
G009.213-00.202,2191,G009.213-00.202_2191,271.72866522488465,-21.082311101641526,0.0002551707439124584,10.625671424723489,2.4014552465713826e-05,67,0,75
G009.213-00.202,2405,G009.213-00.202_2405,271.72859139410497,-21.08231110529788,0.00039197562728077173,16.322420658906932,2.4014552465713826e-05,129,0,192
G009.213-00.202,3540,G009.213-00.202_3540,271.72870928518864,-21.08231109944431,0.0002976891410071403,12.396197740189349,2.4014552465713826e-05,30,0,90
G009.213-00.202,3844,G009.213-00.202_3844,271.72870690355063,-21.082311099563377,0.00024239711638074368,10.093759470505232,2.4014552465713826e-05,32,0,94
G009.213-00.202,4321,G009.213-00.202_4321,271.72841515288894,-21.082311113896893,0.0008303886279463768,34.57855936028553,2.4014552465713826e-05,277,0,402
G009.213-00.202,4361,G009.213-00.202_4361,271.72846040401197,-21.082311111706368,0.0007406483637169003,30.841647570752876,2.4014552465713826e-05,239,0,334
