target,proposal,f5sigma,com
G010.8411-02.5919,2015.1.00480.S,0.0,False
G010.8411-02.5919,2017.1.00101.S,0.0,False
G010.8411-02.5919,2017.1.01079.S,0.00026068821689259646,False
G010.8411-02.5919,2019.2.00120.S,0.0,False
G015.0357-00.6795,2022.1.00700.S,0.0,False
G015.0357-00.6795,2023.1.01346.S,0.003593094795959831,False
G076.3829-00.6210,2022.1.00367.S,0.018828451882845185,False
G081.6802+00.5405B,2019.1.00263.S,0.004699738903394255,False
G081.8789+00.7822,2022.1.01756.S,0.0,False
G189.0307+00.7821,2022.1.01160.S,0.009742519137091161,False
G192.6005-00.0479,2019.1.00315.S,0.060524828395098026,True
G232.6207+00.9959,2015.1.01454.S,0.0015657620041753654,False
G232.6207+00.9959,2018.1.01561.S,0.02803633170517535,False
G232.6207+00.9959,2023.1.01721.S,0.015265226633908453,False
G326.6618+00.5207,2022.1.01344.S,0.04515047409646833,False
G336.4917-01.4741A,2016.1.01182.S,0.009834638816362054,False
G336.4917-01.4741B,2016.1.01182.S,0.009834638816362054,False
G342.1156-03.7089,2023.1.01346.S,0.00023220712875885293,False
G345.0052+01.8209,2023.1.01346.S,0.0,False
G345.0061+01.7944C,2023.1.01346.S,0.0,False
G345.4938+01.4677,2022.1.00700.S,0.0,False
G345.5043+00.3480,2022.1.01344.S,0.0005219207391443783,False
MonR2-IRS2,2018.1.00446.S,0.044577685088633995,False
MonR2-IRS2,2022.1.00285.S,0.029038428099460962,False
MonR2-IRS3,2019.1.00437.S,0.0041753653444676405,False
MonR2-IRS3,2022.1.00285.S,0.025213006433663712,False
NGC6334I,2016.1.00383.S,0.0010427528675703858,False
NGC6334I,2016.1.01036.S,0.0,False
NGC6334I,2016.1.01137.S,0.0,False
NGC6334I,2018.1.00024.S,0.0020876826722338203,False
NGC6334I,2018.1.00495.S,0.00851581508515815,False
NGC6334I,2021.1.00713.S,0.0,False
NGC6334I,2022.1.00700.S,0.0005213764337851929,False
NGC6334I,2022.1.01399.S,0.006093254504166541,False
NGC6334IN,2016.1.01036.S,0.0,False
NGC6334IN,2016.1.01147.S,0.01694473409801877,False
NGC6334IN,2018.1.00024.S,0.0020876826722338203,False
NGC6334IN,2021.1.00713.S,0.0,False
NGC6334IN,2022.1.00700.S,0.0005213764337851929,False
Orion_SrcI,2025.1.00236.S,0.004110671203081734,False
