target,proposal,src_id,NaCl_n_lines,NaCl_n_5sig,NaCl_top_line,NaCl_top_snr,NaCl_top_peak_K,NaCl_top_peak_v,NaCl_stack_snr,NaCl_stack_peak,NaCl_stack_nlines,NaCl_vexc_only_det,NaCl_decision,KCl_n_lines,KCl_n_5sig,KCl_top_line,KCl_top_snr,KCl_top_peak_K,KCl_top_peak_v,KCl_stack_snr,KCl_stack_peak,KCl_stack_nlines,KCl_vexc_only_det,KCl_decision,H2O_n_lines,H2O_n_5sig,H2O_top_line,H2O_top_snr,H2O_top_peak_K,H2O_top_peak_v,H2O_stack_snr,H2O_stack_peak,H2O_stack_nlines,H2O_vexc_only_det,H2O_decision,RRL_n_lines,RRL_n_5sig,RRL_top_line,RRL_top_snr,RRL_top_peak_K,RRL_top_peak_v,RRL_stack_snr,RRL_stack_peak,RRL_stack_nlines,RRL_vexc_only_det,RRL_decision,SiO_n_lines,SiO_n_5sig,SiO_top_line,SiO_top_snr,SiO_top_peak_K,SiO_top_peak_v,SiO_stack_snr,SiO_stack_peak,SiO_stack_nlines,SiO_vexc_only_det,SiO_decision,SiS_n_lines,SiS_n_5sig,SiS_top_line,SiS_top_snr,SiS_top_peak_K,SiS_top_peak_v,SiS_stack_snr,SiS_stack_peak,SiS_stack_nlines,SiS_vexc_only_det,SiS_decision,SO_n_lines,SO_n_5sig,SO_top_line,SO_top_snr,SO_top_peak_K,SO_top_peak_v,SO_stack_snr,SO_stack_peak,SO_stack_nlines,SO_vexc_only_det,SO_decision,f5sigma,flags
G010.8411-02.5919,2015.1.00480.S,2,1,0,NaCl_v0_J23-22,0.9465113282203674,0.0062656346708536,2.431022742993548,,,0.0,False,ul,1,0,KCl_v0_J39-38,1.299997329711914,0.0095718158408999,5.886889078349224,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0,
G010.8411-02.5919,2017.1.00101.S,2,1,0,NaCl_v0_J20-19,2.5815699100494385,0.02733089402318,18.70959730793143,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,
G010.8411-02.5919,2017.1.01079.S,1,0,0,,,,,,,,,na,2,0,KCl_v1_J14-13,2.2145862579345703,0.0009986640652641,12.812405949244276,2.3621978450724286,0.0007952657114077394,2.0,False,ul,0,0,,,,,,,,,na,2,0,H39alpha,4.468593120574951,0.0024049491621553,-0.2367448527717497,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,
G010.8411-02.5919,2019.2.00120.S,1,3,0,NaCl_v1_J18-17,2.435400485992432,0.3143616914749145,12.714799388329732,2.2487619525084486,0.1866605009855597,3.0,False,ul,1,0,KCl_v0_J30-29,2.610041856765747,0.6312687993049622,17.772425129837472,,,0.0,False,ul,2,0,H2O_v2_3_13-2_20_232,3.890643119812012,0.5421572923660278,16.616005922950105,,,0.0,False,ul,1,0,H30alpha,1.726817965507507,0.2802192568778991,60.0697876259836,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,1,0,SO_5_6-4_5,2.597301721572876,0.5633509159088135,7.142779381067958,,,0.0,False,ul,,
G015.0357-00.6795,2022.1.00700.S,2,1,0,NaCl_v1_J18-17,1.965998888015747,0.002772849984467,16.317995909953023,,,0.0,False,ul,0,0,,,,,,,,,na,1,0,H2O_5_15-4_22_232,1.54961895942688,0.0026188264600932,24.06843544521276,,,0.0,False,ul,1,0,H30alpha,1.8367949724197388,0.0032876441255211,9.514191854234552,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0,
G015.0357-00.6795,2023.1.01346.S,1,6,1,NaCl_v2_J19-18,7.4455790519714355,0.003336171619594,19.66257558983518,6.33744182200892,0.0021616300366515285,6.0,True,det,6,0,KCl_v1_J34-33,4.313926696777344,0.0028719049878418,27.126756383985747,3.7142714377571955,0.0013814337781729179,6.0,False,ul,2,0,H2O_v2_3_13-2_20_232,2.619539260864258,0.0033052745275199,24.73395398538909,,,0.0,False,ul,2,2,H29alpha,14.750377655029297,0.0227324757725,15.527399143751712,,,0.0,False,det,3,0,SiO_v0_J=5-4,3.4721572399139404,0.0026123691350221,16.308389630368097,,,0.0,False,ul,2,1,SiS_v0_14-13,5.292109966278076,0.0049751601181924,16.052173082222463,,,0.0,False,det,0,0,,,,,,,,,na,0.0023186190689293,NaCl_VEXC_ONLY|NaCl_SINGLE_LINE_DET|SiS_SINGLE_LINE_DET|H2O_NONDET_WITH_NACL_DET
G076.3829-00.6210,2022.1.00367.S,3,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,3,2,H42alpha,11.072429656982422,0.0758027732372284,-9.870481374562194,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0188284518828451,
G081.6802+00.5405B,2019.1.00263.S,1,4,0,NaCl_v2_J17-16,2.74209213256836,0.0036009196192026,-10.34400830385927,1.4985819954681856,0.0013971146812077231,4.0,False,ul,2,0,KCl_v0_J30-29,1.4726159572601318,0.0055912788957357,-12.131121496987268,1.1471601432900085,0.0030650758604520716,2.0,False,ul,2,0,H2O_v2_3_13-2_20_232,3.111664295196533,0.0056732697412371,0.6984100194706117,,,0.0,False,ul,1,0,H30alpha,1.723804593086243,0.0047416957095265,-48.284264213769696,,,0.0,False,ul,1,0,SiO_v0_J=5-4,3.508288860321045,0.0099595375359058,-9.285169752955554,,,0.0,False,ul,0,0,,,,,,,,,na,1,0,SO_5_6-4_5,2.1992335319519043,0.0066237640567123,7.594365122872638,,,0.0,False,ul,0.0046997389033942,
G081.8789+00.7822,2022.1.01756.S,3,3,0,NaCl_v2_J18-17,2.4162540435791016,0.0033914900850504,14.581102267239824,1.9712380630472148,0.0013776524005526519,3.0,False,ul,1,0,KCl_v0_J30-29,2.6559958457946777,0.0047495989128947,14.03783254707948,,,0.0,False,ul,2,0,H2O_5_15-4_22_232,1.8295923471450808,0.002428680891171,16.223697827745696,,,0.0,False,ul,1,0,H30alpha,2.60334849357605,0.0031967414543032,19.32086867687321,,,0.0,False,ul,1,0,SiO_v0_J=5-4,2.7735116481781006,0.0045541822910308,12.298576858031506,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0,
G189.0307+00.7821,2022.1.01160.S,6,1,0,NaCl_v2_J20-19,0.8171341419219971,0.0004385680658742,12.292186123809778,,,0.0,False,ul,1,0,KCl_v0_J33-32,1.342842936515808,0.0006787744350731,-6.478435140402726,,,0.0,False,ul,0,0,,,,,,,,,na,5,2,H29alpha,23.108562469482425,0.0118255820125341,5.080064151233644,,,0.0,False,det,1,0,29SiO_v0_J=6-5,0.9671497941017152,0.0006418041302822,-5.407512002260424,,,0.0,False,ul,2,0,SiS_v0_13-12,4.058295249938965,0.0013014490250498,-6.846475891508162,,,0.0,False,ul,2,2,SO2_14_4_10-15_3_13,7.905673503875732,0.002526338212192,1.3132329748643097,,,0.0,False,det,0.0097425191370911,
G192.6005-00.0479,2019.1.00315.S,1,1,0,NaCl_v1_J26-25,1.1294819116592407,0.0080703683197498,0.0884909099161159,,,0.0,False,ul,1,0,KCl_v1_J44-43,1.9065672159194944,0.0226804614067077,6.828354742738127,,,0.0,False,ul,0,0,,,,,,,,,na,2,2,H33beta,10.647021293640137,0.0534215979278087,66.8090186254597,,,0.0,False,det,1,0,SiO_v0_J=8-7,2.63428282737732,0.0377788841724395,4.104042675431585,,,0.0,False,ul,0,0,,,,,,,,,na,1,1,SO_9_8-8_7,14.21693992614746,0.1749757528305053,3.0569994560821216,,,0.0,False,det,0.060524828395098,SO_SINGLE_LINE_DET|HIGH_CONFUSION
G232.6207+00.9959,2015.1.01454.S,19,1,0,NaCl_v2_J18-17,2.283740997314453,0.0380493216216564,22.023131013332225,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,1,0,H30alpha,4.477182865142822,0.0527402199804782,68.46976132985266,,,0.0,False,ul,1,0,SiO_v0_J=5-4,0.7755596041679382,0.0064867157489061,25.434178785934986,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0015657620041753,
G232.6207+00.9959,2018.1.01561.S,1,1,0,NaCl_v2_J31-30,2.5274200439453125,0.0284168105572462,22.100984370772583,,,0.0,False,ul,2,0,KCl_v0_J52-51,2.806187391281128,0.0254828929901123,16.853620546271326,1.9221020819870174,0.008967669752702375,2.0,False,ul,0,0,,,,,,,,,na,2,2,H25alpha,22.251569747924805,0.2618714272975921,4.619048102113943,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0267205422314911,HIGH_CONFUSION
G232.6207+00.9959,2023.1.01721.S,2,0,0,,,,,,,,,na,2,1,KCl_v2_J47-46,6.248652935028076,0.00203273515217,22.6700311523173,5.231748822440809,0.0014612252438824843,2.0,False,det,0,0,,,,,,,,,na,1,1,H26alpha,210.28778076171875,0.1152059733867645,27.58274406856869,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,1,1,SO_8_7-7_6,24.99856185913086,0.0757661312818527,19.096152391355965,,,0.0,False,det,,KCl_SINGLE_LINE_DET|RRL_SINGLE_LINE_DET|SO_SINGLE_LINE_DET
G326.6618+00.5207,2022.1.01344.S,1,4,0,NaCl_v0_J18-17,3.615966558456421,0.002562753856182,-46.92080147315562,3.649408023499436,0.0015835277329036101,4.0,False,ul,0,0,,,,,,,,,na,2,2,H2O_v2_3_13-2_20_232,16.26155662536621,0.0121628660708665,-49.37571871266543,,,0.0,False,det,1,1,H30alpha,9.521891593933104,0.010110754519701,-7.314797029822832,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0451504740964683,RRL_SINGLE_LINE_DET|HIGH_CONFUSION
G336.4917-01.4741A,2016.1.01182.S,2,3,0,NaCl_v1_J17-16,2.43273663520813,0.0570239685475826,-30.807838754447644,0.7192528533144958,0.0019462189093632791,3.0,False,ul,2,0,KCl_v2_J31-30,1.3017479181289673,0.0073050130158662,-37.79204611569597,1.2613859677623493,0.007071078384427165,2.0,False,ul,2,0,H2O_5_15-4_22_232,2.600980043411255,0.0072250007651746,-51.44167971976602,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,2,1,SO_5_6-4_5,255.57188415527344,5.312488555908203,-24.726874713896542,,,0.0,False,det,0.009834638816362,SO_SINGLE_LINE_DET
G336.4917-01.4741B,2016.1.01182.S,2,3,0,NaCl_v1_J17-16,2.43273663520813,0.0570239685475826,-30.807838754447644,0.7192528533144958,0.0019462189093632791,3.0,False,ul,2,0,KCl_v2_J31-30,1.3017479181289673,0.0073050130158662,-37.79204611569597,1.2613859677623493,0.007071078384427165,2.0,False,ul,2,0,H2O_5_15-4_22_232,2.600980043411255,0.0072250007651746,-51.44167971976602,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,2,1,SO_5_6-4_5,255.57188415527344,5.312488555908203,-24.726874713896542,,,0.0,False,det,0.009834638816362,SO_SINGLE_LINE_DET
G342.1156-03.7089,2023.1.01346.S,1,6,0,NaCl_v0_J20-19,3.977057695388794,0.0032924998085945,-18.602649088226144,2.6816999303613094,0.0009459632413885767,6.0,False,ul,6,0,KCl_v1_J30-29,2.292418956756592,0.0025722051504999,-15.880662050748828,1.3803859500976017,0.0006346921921820019,6.0,False,ul,2,0,H2O_v2_3_13-2_20_232,1.573251485824585,0.0012957458384335,-18.332245906145545,,,0.0,False,ul,3,0,H30alpha,2.502885341644287,0.0019271384226158,32.73392974196928,,,0.0,False,ul,3,0,SiO_v1_J=6-5,2.1413614749908447,0.0042679379694163,-9.535674800723674,,,0.0,False,ul,2,0,29SiS_v0_14-13,1.5529268980026243,0.0027754365000873,-18.076189669770013,,,0.0,False,ul,0,0,,,,,,,,,na,0.0,
G345.0052+01.8209,2023.1.01346.S,1,2,0,NaCl_v1_J19-18,2.2580435276031494,0.0225818715989589,-10.303992295127362,1.774920746872644,0.012163830241543152,2.0,False,ul,3,0,KCl_v0_J32-31,3.012422800064087,0.0301190242171287,-7.173626120314235,1.997773409245137,0.009548269928815136,3.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,
G345.0061+01.7944C,2023.1.01346.S,4,2,0,NaCl_v2_J17-16,2.770593643188477,0.0054169506765902,-24.071852306768065,2.5660602893481963,0.003988411607784942,2.0,False,ul,2,0,KCl_v1_J30-29,3.513069868087769,0.0074485936202108,-11.441593474568569,2.6086642196212626,0.003446949833117432,2.0,False,ul,2,0,H2O_v2_3_13-2_20_232,2.0982446670532227,0.0044876025058329,-8.976452045092593,,,0.0,False,ul,1,0,H30alpha,2.255665779113769,0.0053675700910389,30.821154346899423,,,0.0,False,ul,1,0,SiO_v0_J=5-4,1.0173975229263306,0.0019062203355133,-21.531565932827885,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0,
G345.4938+01.4677,2022.1.00700.S,1,1,0,NaCl_v1_J18-17,2.757408857345581,0.0014969438780099,-12.421283961893526,,,0.0,False,ul,0,0,,,,,,,,,na,1,0,H2O_5_15-4_22_232,0.7007750868797302,0.0007026668172329,-3.40008528232202,,,0.0,False,ul,1,1,H30alpha,10.63176155090332,0.0450242646038532,-15.479034854199272,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0,RRL_SINGLE_LINE_DET
G345.5043+00.3480,2022.1.01344.S,2,4,1,NaCl_v2_J17-16,6.622256278991699,0.0035802833735942,-19.99591117874789,6.966976276364903,0.002782597871590207,4.0,True,det,0,0,,,,,,,,,na,2,1,H2O_5_15-4_22_232,15.224379539489746,0.0079263001680374,-23.12780976579417,,,0.0,False,det,1,0,H30alpha,1.3907999992370603,0.0039730290882289,23.989670838001416,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0005219207391443,NaCl_VEXC_ONLY|NaCl_SINGLE_LINE_DET|H2O_SINGLE_LINE_DET
MonR2-IRS2,2018.1.00446.S,3,0,0,,,,,,,,,na,2,0,KCl_v1_J48-47,0.1583070158958435,2.9556140361819416e-05,5.866538930142764,1.0488398450703174,0.00013086507404173133,2.0,False,ul,0,0,,,,,,,,,na,2,2,H26alpha,171.529541015625,0.2847523391246795,31.6841309339882,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0445776850886339,HIGH_CONFUSION
