ID,Name,GLON,GLAT,Dist_kpc,theta_200AU_arcsec,n_alma_obs,best_res_arcsec,n_hires_obs
6926,b'HIGALBM14.1017+0.0871',14.101712,0.087108,15.244,0.013119916032537392,0,,0
7701,b'HIGALBM15.3648-0.4168',15.364767,-0.416795,4.687,0.042671218263281414,0,,0
7836,b'HIGALBM15.6649-0.4987',15.66493,-0.498669,14.448,0.013842746400885935,0,,0
8214,b'HIGALBM16.3623-0.2062',16.362312,-0.20625,12.223,0.016362595107584064,20,0.02270310494963598,0
8341,b'HIGALBM16.5849-0.0505',16.584914,-0.050489,4.584,0.04363001745200698,189,0.03833901041023188,4
8470,b'HIGALBM16.8218-0.3482',16.821784,-0.34825,13.86,0.01443001443001443,12,0.28441458764001243,0
8476,b'HIGALBM16.8309+0.0788',16.830871,0.078816,11.588,0.01725923369002416,0,,0
8584,b'HIGALBM16.9443-0.0733',16.944315,-0.073348,12.692,0.01575795776867318,0,,0
8732,b'HIGALBM17.1140-0.1121',17.114028,-0.1121,12.488,0.016015374759769378,0,,0
8946,b'HIGALBM17.4515+0.8113',17.451501,0.811322,2.239,0.08932559178204555,0,,0
9048,b'HIGALBM17.6531+0.1736',17.653108,0.173589,2.264,0.08833922261484099,0,,0
9189,b'HIGALBM17.9639+0.0787',17.96386,0.078662,2.247,0.08900756564307966,5,0.14520450403742535,0
9236,b'HIGALBM18.0728+0.0771',18.072756,0.077102,12.115,0.01650846058605035,0,,0
9286,b'HIGALBM18.1441-0.2981',18.144135,-0.29806,11.997,0.01667083437526048,0,,0
9289,b'HIGALBM18.1466-0.2826',18.146579,-0.282589,4.073,0.04910385465259022,12,0.2667777559740828,0
9334,b'HIGALBM18.2155-0.2231',18.215485,-0.22306,12.011,0.0166514028806927,0,,0
9354,b'HIGALBM18.2429-0.2383',18.242853,-0.238286,4.746,0.04214075010535188,0,,0
9369,b'HIGALBM18.2623-0.2437',18.262277,-0.243693,4.773,0.04190236748376283,16,0.2667151377455513,0
9393,b'HIGALBM18.3021-0.3868',18.302139,-0.386833,2.955,0.0676818950930626,61,0.14533828636842772,0
9462,b'HIGALBM18.4433-0.0051',18.44329,-0.005123,12.027,0.016629250852249106,0,,0
9469,b'HIGALBM18.4611-0.0034',18.461122,-0.003397,12.061,0.016582372937567365,0,,0
9503,b'HIGALBM18.5509+0.0357',18.550913,0.035705,12.962,0.015429717636167259,0,,0
9564,b'HIGALBM18.6544-0.0592',18.654411,-0.059211,12.416,0.01610824742268041,80,0.26646856966118754,0
9569,b'HIGALBM18.6618+0.0356',18.661833,0.035577,10.862,0.018412815319462345,5,1.238710027289681,0
9573,b'HIGALBM18.6674+0.0257',18.667353,0.025726,10.889,0.01836715951878042,16,1.238710027289681,0
9597,b'HIGALBM18.7105+0.0010',18.710532,0.001005,12.134,0.016482610845557938,0,,0
9605,b'HIGALBM18.7353-0.2267',18.73525,-0.226706,12.569,0.015912164850027846,48,0.9046534267271894,0
9616,b'HIGALBM18.7612+0.2634',18.761197,0.263384,14.144,0.01414027149321267,0,,0
