member_ous_uid,obs_id,proposal_id,schedblock_name,target_name,spatial_resolution,frequency,band_list,scientific_category,data_rights,s_ra,s_dec,obs_release_date,antenna_arrays,is_mosaic,higal_name,dist_kpc,theta_lim_arcsec
uid://A001/X1590/X2a4f,uid://A001/X1590/X2a4f.source.G60.575-0.187.spw.29,2021.1.00311.S,G60.575-_a_06_TM1,G60.575-0.187,0.5120809025285914,231.046255627881,6,ISM and star formation,Public,296.46874999999756,24.29527777777777,2023-09-02T20:35:05.000,A001:DA57 A002:DA52 A007:DV04 A008:DV24 A010:DV15 A011:DV25 A015:DV21 A016:DA61 A022:DV02 A023:DA47 A024:DV06 A027:DV03 A033:DV01 A035:DA63 A036:DV08 A042:DA60 A043:DA55 A044:DV12 A045:DA58 A047:DA42 A048:DA46 A049:DA44 A050:DA45 A058:DA64 A062:DA65 A066:DA62 A068:DA54 A072:DA53 A073:DA43 A075:DV09 A076:DA51 A082:DA41 A083:DV22 A085:DA59 A086:DV13 A087:DV05 A088:DV11 A089:DV23 A090:DV17 A091:DV14 A092:DV18 A093:DV07 A094:DV16,F,HIGALBM60.5751-0.1859,0.186,1.075268817204301
uid://A001/X1590/X2a4f,uid://A001/X1590/X2a4f.source.G60.575-0.187.spw.27,2021.1.00311.S,G60.575-_a_06_TM1,G60.575-0.187,0.5120809025285914,219.99643470283738,6,ISM and star formation,Public,296.46874999999756,24.29527777777777,2023-09-02T20:35:05.000,A001:DA57 A002:DA52 A007:DV04 A008:DV24 A010:DV15 A011:DV25 A015:DV21 A016:DA61 A022:DV02 A023:DA47 A024:DV06 A027:DV03 A033:DV01 A035:DA63 A036:DV08 A042:DA60 A043:DA55 A044:DV12 A045:DA58 A047:DA42 A048:DA46 A049:DA44 A050:DA45 A058:DA64 A062:DA65 A066:DA62 A068:DA54 A072:DA53 A073:DA43 A075:DV09 A076:DA51 A082:DA41 A083:DV22 A085:DA59 A086:DV13 A087:DV05 A088:DV11 A089:DV23 A090:DV17 A091:DV14 A092:DV18 A093:DV07 A094:DV16,F,HIGALBM60.5751-0.1859,0.186,1.075268817204301
uid://A001/X1590/X2a4f,uid://A001/X1590/X2a4f.source.G60.575-0.187.spw.25,2021.1.00311.S,G60.575-_a_06_TM1,G60.575-0.187,0.5120809025285914,217.6264731107829,6,ISM and star formation,Public,296.46874999999756,24.29527777777777,2023-09-02T20:35:05.000,A001:DA57 A002:DA52 A007:DV04 A008:DV24 A010:DV15 A011:DV25 A015:DV21 A016:DA61 A022:DV02 A023:DA47 A024:DV06 A027:DV03 A033:DV01 A035:DA63 A036:DV08 A042:DA60 A043:DA55 A044:DV12 A045:DA58 A047:DA42 A048:DA46 A049:DA44 A050:DA45 A058:DA64 A062:DA65 A066:DA62 A068:DA54 A072:DA53 A073:DA43 A075:DV09 A076:DA51 A082:DA41 A083:DV22 A085:DA59 A086:DV13 A087:DV05 A088:DV11 A089:DV23 A090:DV17 A091:DV14 A092:DV18 A093:DV07 A094:DV16,F,HIGALBM60.5751-0.1859,0.186,1.075268817204301
uid://A001/X1590/X2a4f,uid://A001/X1590/X2a4f.source.G60.575-0.187.spw.31,2021.1.00311.S,G60.575-_a_06_TM1,G60.575-0.187,0.5120809025285914,232.86622613316584,6,ISM and star formation,Public,296.46874999999756,24.29527777777777,2023-09-02T20:35:05.000,A001:DA57 A002:DA52 A007:DV04 A008:DV24 A010:DV15 A011:DV25 A015:DV21 A016:DA61 A022:DV02 A023:DA47 A024:DV06 A027:DV03 A033:DV01 A035:DA63 A036:DV08 A042:DA60 A043:DA55 A044:DV12 A045:DA58 A047:DA42 A048:DA46 A049:DA44 A050:DA45 A058:DA64 A062:DA65 A066:DA62 A068:DA54 A072:DA53 A073:DA43 A075:DV09 A076:DA51 A082:DA41 A083:DV22 A085:DA59 A086:DV13 A087:DV05 A088:DV11 A089:DV23 A090:DV17 A091:DV14 A092:DV18 A093:DV07 A094:DV16,F,HIGALBM60.5751-0.1859,0.186,1.075268817204301
uid://A001/X2d1f/X4a8,uid://A001/X2d1f/X4a8.source.345.181+01.045.spw.31,2022.1.00700.S,345.493+_a_06_TM1,345.181+01.045,0.021381204699098863,234.49821719901018,6,ISM and star formation,Public,255.1079208333301,-40.56945000000003,2024-08-16T21:00:44.000,A090:PM01 A091:DA43 A092:DV05 A093:DV13 A096:DV06 A101:DA45 A105:DV15 A108:DV16 A111:DV24 A115:DA63 A116:DV17 A118:DV10 A120:DA44 A121:DV12 A122:DA46 A123:DA51 A124:DA47 A125:DA65 A126:DV25 A127:DV01 A128:DA60 A129:DA42 A130:DV02 A132:DA56 A133:DA49 A135:PM04 P401:DA52 P402:DA41 P404:DV09 P405:DV22 P409:DA50 P410:DV20 P411:DV04 P412:DA57 S301:DV21 S302:DV14 S303:DA54 S305:DA58 S306:DA48 S307:DV18 S308:DV08 S309:DA61 T702:PM03 W201:DA55 W202:DV07 W206:DV03 W207:DA62 W209:DA53,F,HIGALBM345.1801+1.0452,1.933,0.10346611484738748
uid://A001/X2d1f/X4a8,uid://A001/X2d1f/X4a8.source.345.181+01.045.spw.25,2022.1.00700.S,345.493+_a_06_TM1,345.181+01.045,0.021381204699098863,217.6020561848037,6,ISM and star formation,Public,255.1079208333301,-40.56945000000003,2024-08-16T21:00:44.000,A090:PM01 A091:DA43 A092:DV05 A093:DV13 A096:DV06 A101:DA45 A105:DV15 A108:DV16 A111:DV24 A115:DA63 A116:DV17 A118:DV10 A120:DA44 A121:DV12 A122:DA46 A123:DA51 A124:DA47 A125:DA65 A126:DV25 A127:DV01 A128:DA60 A129:DA42 A130:DV02 A132:DA56 A133:DA49 A135:PM04 P401:DA52 P402:DA41 P404:DV09 P405:DV22 P409:DA50 P410:DV20 P411:DV04 P412:DA57 S301:DV21 S302:DV14 S303:DA54 S305:DA58 S306:DA48 S307:DV18 S308:DV08 S309:DA61 T702:PM03 W201:DA55 W202:DV07 W206:DV03 W207:DA62 W209:DA53,F,HIGALBM345.1801+1.0452,1.933,0.10346611484738748
uid://A001/X2d1f/X4a8,uid://A001/X2d1f/X4a8.source.345.181+01.045.spw.29,2022.1.00700.S,345.493+_a_06_TM1,345.181+01.045,0.021381204699098863,231.9356169445694,6,ISM and star formation,Public,255.1079208333301,-40.56945000000003,2024-08-16T21:00:44.000,A090:PM01 A091:DA43 A092:DV05 A093:DV13 A096:DV06 A101:DA45 A105:DV15 A108:DV16 A111:DV24 A115:DA63 A116:DV17 A118:DV10 A120:DA44 A121:DV12 A122:DA46 A123:DA51 A124:DA47 A125:DA65 A126:DV25 A127:DV01 A128:DA60 A129:DA42 A130:DV02 A132:DA56 A133:DA49 A135:PM04 P401:DA52 P402:DA41 P404:DV09 P405:DV22 P409:DA50 P410:DV20 P411:DV04 P412:DA57 S301:DV21 S302:DV14 S303:DA54 S305:DA58 S306:DA48 S307:DV18 S308:DV08 S309:DA61 T702:PM03 W201:DA55 W202:DV07 W206:DV03 W207:DA62 W209:DA53,F,HIGALBM345.1801+1.0452,1.933,0.10346611484738748
uid://A001/X2d1f/X4a8,uid://A001/X2d1f/X4a8.source.345.181+01.045.spw.27,2022.1.00700.S,345.493+_a_06_TM1,345.181+01.045,0.021381204699098863,220.41466622016554,6,ISM and star formation,Public,255.1079208333301,-40.56945000000003,2024-08-16T21:00:44.000,A090:PM01 A091:DA43 A092:DV05 A093:DV13 A096:DV06 A101:DA45 A105:DV15 A108:DV16 A111:DV24 A115:DA63 A116:DV17 A118:DV10 A120:DA44 A121:DV12 A122:DA46 A123:DA51 A124:DA47 A125:DA65 A126:DV25 A127:DV01 A128:DA60 A129:DA42 A130:DV02 A132:DA56 A133:DA49 A135:PM04 P401:DA52 P402:DA41 P404:DV09 P405:DV22 P409:DA50 P410:DV20 P411:DV04 P412:DA57 S301:DV21 S302:DV14 S303:DA54 S305:DA58 S306:DA48 S307:DV18 S308:DV08 S309:DA61 T702:PM03 W201:DA55 W202:DV07 W206:DV03 W207:DA62 W209:DA53,F,HIGALBM345.1801+1.0452,1.933,0.10346611484738748
uid://A001/X2d20/X1637,uid://A001/X2d20/X1637.source.G059.7831+00.0648.spw.31,2022.1.01160.S,G059.783_a_06_TM1,G059.7831+00.0648,0.02520670095554678,256.7884035016762,6,ISM and star formation,Public,295.7967916667134,23.734333333341823,2024-12-06T12:34:04.000,A090:PM01 A091:DA43 A092:DV05 A093:DV13 A101:DA45 A105:DV15 A108:DV16 A111:DV24 A115:DA63 A116:DV17 A118:DV10 A120:DA44 A121:DV12 A122:DA46 A123:DA51 A124:DA47 A125:DA65 A126:DV25 A127:DV01 A128:DA60 A129:DA42 A130:DV02 A132:DA56 A133:DA49 A135:PM04 P401:DA52 P402:DA41 P404:DV09 P405:DV22 P407:DV06 P409:DA50 P410:DV20 P411:DV04 P412:DA57 S301:DV21 S302:DV14 S303:DA54 S305:DA58 S306:DA48 S307:DV18 S308:DV08 S309:DA61 T702:PM03 W201:DA55 W202:DV07 W206:DV03 W207:DA62 W209:DA53 W210:DV23,F,HIGALBM59.7826+0.0650,2.033,0.09837678307919331
uid://A001/X2d20/X1637,uid://A001/X2d20/X1637.source.G059.7831+00.0648.spw.25,2022.1.01160.S,G059.783_a_06_TM1,G059.7831+00.0648,0.02520670095554678,239.00515349082616,6,ISM and star formation,Public,295.7967916667134,23.734333333341823,2024-12-06T12:34:04.000,A090:PM01 A091:DA43 A092:DV05 A093:DV13 A101:DA45 A105:DV15 A108:DV16 A111:DV24 A115:DA63 A116:DV17 A118:DV10 A120:DA44 A121:DV12 A122:DA46 A123:DA51 A124:DA47 A125:DA65 A126:DV25 A127:DV01 A128:DA60 A129:DA42 A130:DV02 A132:DA56 A133:DA49 A135:PM04 P401:DA52 P402:DA41 P404:DV09 P405:DV22 P407:DV06 P409:DA50 P410:DV20 P411:DV04 P412:DA57 S301:DV21 S302:DV14 S303:DA54 S305:DA58 S306:DA48 S307:DV18 S308:DV08 S309:DA61 T702:PM03 W201:DA55 W202:DV07 W206:DV03 W207:DA62 W209:DA53 W210:DV23,F,HIGALBM59.7826+0.0650,2.033,0.09837678307919331
