target,NaCl_kind,NaCl_K_or_3s_mK,KCl_kind,KCl_K_or_3s_mK,H2O_kind,H2O_K_or_3s_mK,RRL_kind,RRL_K_or_3s_mK,SiO_kind,SiO_K_or_3s_mK,SiS_kind,SiS_K_or_3s_mK,SO_kind,SO_K_or_3s_mK,COM_kind,reference,notes
Orion-SrcI,det,,det,,det,,ul,,det,,det,,det,,ul,Ginsburg+2019 (ApJ 872 54),Source I disk: NaCl/KCl vib bands; H2O 232.687 disk; SiO/SiS/SO/SO2 detected; COMs NOT detected toward the disk itself
Orion-BN,na,,na,,na,,det,,na,,na,,na,,na,Plambeck+2013 (ApJ 765 40) and Galvan-Madrid+2012 (A&A 537 A56),BN hypercompact HII region; H30alpha+H/He recombination lines only - no molecular lines
NGC6334I,det,,det,,det,,na,,det,,na,,det,,det,McGuire+2018 (ApJ 851 L46) + Yang+2026 (HOTDISK) + Bonfand+2024,NGC6334I MM1B = our src05 (RA 260.222573 -35.782747 within 0.1arcsec of McGuire+2018 NaCl coords 17h20m53.41s -35d46m57.9s); NaCl/KCl on MM1B; H2O 232+ COMs (CH3OH/CH3CN/HC3N) bright; SiO 5-4 disk; SO/SO2 detected; no RRL at NGC6334I main.
G010.8411-02.5919,na,,na,,ul,,na,,det,,na,,det,,det,Fernandez-Lopez+2013 (ApJ 778 72) + Girart+2017 (ApJ 847 58) + Carrasco-Gonzalez+2010 (Science 330 1209),GGD27/HH80-81/I18162 thermal radio jet from disk; SiO+SO+SO2+CH3OH on MM1/MM2 disk components; no published NaCl/KCl search; no RRL coverage in Band 6 SiO obs
G232.6207+00.9959,ul,,na,,ul,,ul,,det,,na,,na,,na,Yang+2026 (HOTDISK arxiv 2604.19366),I07299-1651 HOTDISK target; disk SiO 5-4 + jet; no salt/H2O detection at brightest mm core
NGC6334IN,ul,,ul,,tent,,ul,,ul,,na,,ul,,det,Hunter+2014 (ApJ 788 187) + Brogan+2009 (ApJ 707 1),NGC6334IN brightest mm = SMA6 = our src01; H2O 232 tentative per Hunter+2014; COMs CH3OH/CH3OCHO detected; no NaCl/KCl/SiO detection
G345.4938+01.4677,ul,,na,,ul,,det,,det,,na,,na,,ext,Guzman+2010 (ApJ 725 1429) + Guzman+2014 (ApJ 796 117) + Carrasco-Gonzalez+2018 (ApJ 859 25),IRAS 16562-3959 thermal radio jet (HII region H30alpha bright); SiO 5-4 jet emission; no NaCl/KCl reported; H2O 232 not detected at brightest mm core
G192.6005-00.0479,ul,,ul,,na,,det,,det,,na,,det,,det,Cesaroni+2018 (A&A 612 A103) + Zinchenko+2020 (A&A 642 A129) + Liu+2020 (ApJ 904 75),S255IR SMA1 disk + outflow; SiO 8-7 jet on SMA1; H2O 232 GHz not covered in 2019.1.00315 SPW (Band 7); RRL H33beta+H37gamma detected; CH3OH/HC3N/SO COMs
IRAS17233-3606,det,,det,,det,,na,,det,,det,,det,,det,Ginsburg+2023 (IRAS 17233-3606 = G351.77-0.54 mm1),NaCl/KCl/H2O/SiO/SiS/SO + COMs at G351.77-0.54 mm1; previously reported salt detection — NOT new in this work
G345.5043+00.3480,ul,,ul,,ul,,na,,na,,ul,,na,,na,Yang+2026 (HOTDISK arxiv 2604.19366),HOTDISK pilot target — vib-H2O / NaCl / SiS NON-DETECTION at brightest mm core in Yang+2026; positive H2O 232 (5_15-4_22 ground-vib) first reported in this work
