Name,SIMBAD_id,d_kpc,Lbol_Lsun,best_res_arcsec,best_res_AU,dec,proposal_id,PI
G081.6802+00.5405B,[DKS2007] 36,1.2000000476837158,18130.0,0.2624161264885695,314.8993642992594,42.33166666666667,2019.1.00263.S,"Bally, John"
G080.8645+00.4197,IRAS 20350+4126,1.399999976158142,16340.0,0.3621081609067594,506.95141663613185,41.60669444444444,2024.1.01642.S,"Qiu, Keping"
G076.3829-00.6210,SH  2-106,1.399999976158142,39720.0,2.1600828853898504,3024.115988045401,37.37994444444445,2022.1.00367.S,"Bally, John"
G232.6207+00.9959,IRAS 07299-1651,1.7000000476837158,11270.0,0.028213483957188226,47.96292407254373,-16.970388888888888,2023.1.00394.S,"Zhang, Yichen"
G326.6618+00.5207,MMB G326.662+00.520,1.7999999523162842,15380.0,0.043776030306853626,78.79685246493273,-54.15083333333333,2022.1.01344.S,"Ahmadi, Aida"
G010.8411-02.5919,NAME HH 80-81 IRS,1.899999976158142,23740.0,0.030365167256161202,57.69381706274428,-20.79191666666667,2022.1.00386.S,"Girart, Josep"
G014.9958-00.6732,MSX5C G014.9957-00.6735,2.0,12500.0,0.2841776216677433,568.3552433354866,-16.22497222222222,2019.1.00195.L,"Molinari, Sergio"
G192.6005-00.0479,MMB G192.600-00.048,2.0,35600.0,0.014666111076261274,29.332222152522547,17.98975,2019.1.00315.S,"Liu, Sheng-Yuan"
G015.1288-00.6717,M17WF 24,2.0,11380.0,0.28417738307180507,568.3547661436102,-16.107861111111113,2019.1.00195.L,"Molinari, Sergio"
G015.0357-00.6795,NAME M 17 UC1,2.0,129400.0,0.02291914405129545,45.8382881025909,-16.19311111111111,2022.1.00700.S,"Sanhueza, Patricio"
G189.0307+00.7821,RAFGL 6366S,2.0,19910.0,0.023417906381680658,46.83581276336132,21.516777777777776,2022.1.01160.S,"Johnston, Katharine"
G336.4917-01.4741A,GUM 53,2.0,217970.0,0.6933552285345415,1386.7104570690828,-48.861222222222224,2016.1.01182.S,"Grellmann, Rebekka"
G336.4917-01.4741B,NAME RCW 108 IR Cluster,2.0,11470.0,0.6933552285345415,1386.7104570690828,-48.864555555555555,2016.1.01182.S,"Grellmann, Rebekka"
G345.5043+00.3480,OH 345.50+00.35,2.0,23730.0,0.034243307985538714,68.48661597107743,-40.73986111111111,2022.1.01344.S,"Ahmadi, Aida"
G345.4881+00.3148,AGAL G345.488+00.314,2.0999999046325684,36440.0,0.023195406589391114,48.710351625634985,-40.77313888888889,2022.1.00700.S,"Sanhueza, Patricio"
G017.6380+00.1566,RAFGL 2136,2.200000047683716,53190.0,0.020128965126146547,44.283724237346256,-13.503333333333334,2017.1.00098.S,"Maud, Luke"
G035.1979-00.7427,GAL 035.2-00.74,2.200000047683716,30940.0,0.03065783247060823,67.44723289721748,1.6753333333333331,2017.1.00181.S,"Tan, Jonathan"
G012.8062-00.1987,AGAL G012.804-00.199,2.4000000953674316,126220.0,0.06207895092980598,148.98948815184445,-17.927194444444446,2023.1.01346.S,"Tanaka, Kei"
G012.9090-00.2607,W 33a,2.4000000953674316,21740.0,0.023638130815596355,56.73151621173907,-17.867305555555557,2018.1.00458.S,"Maud, Luke"
