proposal_id,n_sources,sources,on_disk,paths
2013.1.01193.S,1,G018.3029-00.3910,no,
2016.1.01036.S,1,G018.3412+01.7681,no,
2016.1.01182.S,2,G336.4917-01.4741A;G336.4917-01.4741B,no,
2017.1.00098.S,1,G017.6380+00.1566,no,
2017.1.00181.S,1,G035.1979-00.7427,no,
2018.1.00458.S,1,G012.9090-00.2607,yes,/orange/adamginsburg/salt/miriam/W33A/W33_mauds2/2018.1.00458.S;/orange/adamginsburg/salt/DIHCA_salts/W33_mauds2/2018.1.00458.S
2019.1.00195.L,3,G014.9958-00.6732;G015.1288-00.6717;G339.6221-00.1209,no,
2019.1.00263.S,1,G081.6802+00.5405B,no,
2019.1.00315.S,1,G192.6005-00.0479,no,
2019.1.00517.S,1,G339.8838-01.2588,no,
2021.1.00095.S,2,G344.2207-00.5953;G026.3819+01.4057A,no,
2022.1.00367.S,1,G076.3829-00.6210,no,
2022.1.00386.S,1,G010.8411-02.5919,no,
2022.1.00700.S,9,G015.0357-00.6795;G345.4881+00.3148;G345.4938+01.4677;G316.8112-00.0566;G328.8074+00.6324;G348.5312-00.9714;G343.1261-00.0623;G328.2523-00.5320B;G328.2523-00.5320A,yes,/orange/adamginsburg/salt/sanhueza/2022.1.00700.S
2022.1.01160.S,2,G189.0307+00.7821;G026.4207+01.6858,no,
2022.1.01344.S,4,G326.6618+00.5207;G345.5043+00.3480;G348.7250-01.0435;G345.0034-00.2240A,no,
2023.1.00394.S,1,G232.6207+00.9959,no,
2023.1.01346.S,3,G012.8062-00.1987;G345.0061+01.7944C;G348.6972-01.0263,no,
2024.1.01642.S,1,G080.8645+00.4197,no,
2024.1.01709.S,1,G345.2244+01.0304,no,
2022.1.00917.S,3,LMC_clump_4;LMC_clump_52;LMC_clump_72,no,
