Name,Type,RAJ2000,DEJ2000,l_deg,b_deg,d_kpc,Lbol_Lsun,has_ATLASGAL,ATLASGAL_offset_arcsec,has_6p7GHz_maser,maser_catalog,maser_sep_arcsec,gas_rich,keep,ALMA_visible,alt_name,dist_ref,L_ref,why_added,source
OrionKL_SrcI,YSO,83.8220650089148,-5.391071894172812,209.0137,-19.3816,0.418,100000.0,False,nan,False,,nan,True,True,True,Orion BN/KL / Source I,Reid+2025 VLBA parallax,Menten+2007,RMS lacks; b=-19 outside plane focus,literature_override
RMS_CepA,YSO,344.0746599198987,62.03181880435458,109.8715,2.1156,0.7,10000.0,False,nan,False,,nan,True,True,False,Cep A HW2 (=G109.8715+02.1156),Moscadelli+2009 parallax,Patel+2005,RMS L=8.4e3 just below cut,literature_override
S140-IRS1,YSO,334.82896995719005,63.31389585734853,106.7984,5.312,0.764,5000.0,False,nan,False,,nan,True,True,False,S140 IRS1,Hirota+2008 maser parallax,Crampton+1974,Outside RMS; b=+5.3,literature_override
MonR2-IRS3,YSO,91.94326260041443,-6.385527681618985,213.705,-12.6038,0.83,6500.0,False,nan,False,,nan,True,True,True,Mon R2 IRS3,Schlafly+2014 extinction,Henning+1992,RMS associates wrong d=5.9 kpc source,literature_override
RMS_AFGL490,YSO,51.910907965936524,58.783658139691546,141.9996,1.8202,1.0,5000.0,False,nan,False,,nan,True,True,False,AFGL 490 (=G141.9996+01.8202),Schneider+2011,Schreyer+2002,Marginal B-star MYSO; L~5e3,literature_override
G081.6802+00.5405B,HII region,309.75520833333326,42.33166666666667,81.68361244809022,0.5409804293409513,1.2000000476837158,18130.0,False,,True,Yang19,2.889676318428262,True,True,False,,,,,RMS
NGC6334-In,YSO,260.19674598450393,-35.778099242675715,351.4096,0.6655,1.3,10000.0,False,nan,False,,nan,True,True,True,NGC 6334 I(N),Wu+2014 maser parallax,Hunter+2006,RMS gap at l=350-352,literature_override
NGC6334-I,HII/YSO,260.2206423501029,-35.78121315870218,351.4181,0.6478,1.3,160000.0,False,nan,False,,nan,True,True,True,NGC 6334 I (MM1),Wu+2014 maser parallax,Sandell 2000,RMS gap at l=350-352,literature_override
G076.3829-00.6210,HII/YSO,306.86154166666665,37.37994444444445,76.38323380555404,-0.6213406435034161,1.399999976158142,39720.0,False,,False,,573.0813849899031,False,True,False,,,,,RMS
G080.8645+00.4197,HII region,309.217375,41.60669444444444,80.86453801097473,0.4199570503083964,1.399999976158142,16340.0,False,,True,Yang19,0.48230066057020843,True,True,False,,,,,RMS
G080.9383-00.1268,HII region,309.85799999999995,41.33377777777778,80.93853386291694,-0.12724043555014045,1.399999976158142,20040.0,False,,True,Yang19,0.396477196950217,True,True,False,,,,,RMS
RMS_DR21main,HII region,309.75291676041826,42.32866590329285,81.6802,0.5405,1.5,100000.0,False,nan,False,,nan,True,True,True,DR21 main (=G081.6802+00.5405A),Rygl+2012 parallax,Schneider+2010,RMS L_bol=7.8e3 underestimated,literature_override
RMS_DR21OH,HII region,309.7557396537268,42.37972551635661,81.722,0.5699,1.5,10000.0,False,nan,False,,nan,True,True,True,DR21(OH) (=G081.7220+00.5699),Rygl+2012 parallax,Mangum+1991,RMS L_bol=4.3e2 underestimated,literature_override
NGC6357-G353,HII/YSO,261.1989737190522,-34.19325605900424,353.181,0.8859,1.7,50000.0,False,nan,False,,nan,True,True,True,NGC 6357 G353.2+0.9,Massi+2015,Massi+2015,RMS gap at l=350-353,literature_override
G232.6207+00.9959,YSO,113.04054166666664,-16.970388888888888,232.62053467813885,0.9954097648620297,1.7000000476837158,11270.0,False,,True,MMB,1.3194677796614216,True,True,True,,,,,RMS
G326.6618+00.5207,YSO,236.26183333333333,-54.15083333333333,326.6620587043365,0.5208777661481779,1.7999999523162842,15380.0,True,8.300000190734863,True,MMB,0.9714883161407428,True,True,True,,,,,RMS
G010.8411-02.5919,YSO,274.80041666666665,-20.79191666666667,10.84138965961217,-2.5916656231085087,1.899999976158142,23740.0,False,,False,,4629.642334623714,False,True,True,,,,,RMS
G014.9958-00.6732,YSO,275.08112499999993,-16.22497222222222,14.996315092041726,-0.67332901108595,2.0,12500.0,True,60.29999923706055,False,,137.39385693157436,True,True,True,,,,,RMS
G015.0357-00.6795,HII region,275.1035,-16.19311111111111,15.0345452834423,-0.6772553666067116,2.0,129400.0,True,35.0,True,GLOSTAR,0.4460619530612989,True,True,True,,,,,RMS
G015.1288-00.6717,YSO,275.14416666666665,-16.107861111111113,15.128149475580187,-0.6715238595118548,2.0,11380.0,True,22.799999237060547,False,,337.3991618043515,True,True,True,,,,,RMS
G133.6945+01.2166A,YSO,36.379124999999995,62.10583333333334,133.69451275282043,1.2161070908648774,2.0,28530.0,False,,False,,83.49691383538666,False,True,False,,,,,RMS
G133.7150+01.2155,YSO,36.41991666666666,62.09791666666667,133.71517145834193,1.2154935192743341,2.0,206360.0,False,,False,,29.086670255500994,False,True,False,,,,,RMS
G133.9476+01.0648,HII region,36.766041666666666,61.8735,133.94739985274398,1.0642208859766178,2.0,82610.0,False,,True,Yang19,2.472934447715226,True,True,False,,,,,RMS
G189.0307+00.7821,YSO,92.16883333333332,21.516777777777776,189.03109501028896,0.7821255221296972,2.0,19910.0,False,,True,MMB,6.844774289998037,True,True,True,,,,,RMS
G192.6005-00.0479,YSO,93.22504166666667,17.98975,192.60029697028563,-0.04804475820057282,2.0,35600.0,False,,True,MMB,0.6643908106372497,True,True,True,,,,,RMS
G336.4917-01.4741B,YSO,250.00474999999997,-48.864555555555555,336.4914378177882,-1.478560824292079,2.0,11470.0,True,31.0,False,,2465.1646390237265,True,True,True,,,,,RMS
G336.4917-01.4741A,HII region,250.00050000000002,-48.861222222222224,336.49207483170284,-1.474257017308402,2.0,217970.0,True,23.600000381469727,False,,2452.2726844658596,True,True,True,,,,,RMS
G345.5043+00.3480,YSO,256.09529166666664,-40.73986111111111,345.5042816690068,0.3481130029379256,2.0,23730.0,True,2.4000000953674316,True,MMB,1.8565210073192016,True,True,True,,,,,RMS
G345.4881+00.3148,HII region,256.1168333333333,-40.77313888888889,345.48773873323125,0.3149465207567023,2.0999999046325684,36440.0,True,3.0,True,MMB,5.85844952853026,True,True,True,,,,,RMS
G017.6380+00.1566,YSO,275.60991666666666,-13.503333333333334,17.638314243054186,0.15647992405413028,2.200000047683716,53190.0,True,9.100000381469727,True,GLOSTAR,1.0331152661134,True,True,True,,,,,RMS
G035.1979-00.7427,YSO,284.5541666666666,1.6753333333333331,35.195826823883,-0.7435930986739764,2.200000047683716,30940.0,True,7.300000190734863,True,GLOSTAR,4.597852631501303,True,True,True,,,,,RMS
G060.8828-00.1295B,HII/YSO,296.5839166666666,24.591472222222222,60.884239660168255,-0.1285967570467369,2.200000047683716,21800.0,False,,False,,620.0082037073818,False,True,True,,,,,RMS
G040.5451+02.5961B,YSO,284.0190416666666,7.958138888888889,40.54561561633811,2.5960246762399075,2.299999952316284,19100.0,False,,False,,3902.136424292009,False,True,True,,,,,RMS
G012.8062-00.1987,HII region,273.55525,-17.927194444444446,12.80564947167621,-0.19775075913367268,2.4000000953674316,126220.0,True,7.300000190734863,False,,433.3705148577518,True,True,True,,,,,RMS
G012.9090-00.2607,YSO,273.6648333333333,-17.867305555555557,12.908091997562556,-0.2607332860334592,2.4000000953674316,21740.0,True,6.099999904632568,True,MMB,2.3395380763069,True,True,True,,,,,RMS
G345.0061+01.7944C,HII region,254.1983333333333,-40.24047222222222,345.0095637364144,1.7923830354392967,2.4000000953674316,20000.0,False,,True,MMB,0.2498837354537665,True,True,True,,,,,RMS
G345.2244+01.0304,HII region,255.15862499999997,-40.54366666666667,345.22504919223127,1.030519141520362,2.4000000953674316,28830.0,True,42.5,False,,1852.1911554553233,True,True,True,,,,,RMS
G345.4938+01.4677,YSO,254.923375,-40.06205555555555,345.49368242532904,1.4687057424042325,2.4000000953674316,154430.0,True,3.9000000953674316,False,,15.896199928968937,True,True,True,,,,,RMS
G344.2207-00.5953,HII region,256.05354166666666,-42.33127777777778,344.2208969280293,-0.5934557367732205,2.5,40130.0,True,2.4000000953674316,False,,92.22489158302193,True,True,True,,,,,RMS
RMS_NGC7538I,HII region,348.43880679963456,61.47027155144846,111.5423,0.7776,2.65,150000.0,False,nan,False,,nan,True,True,False,NGC 7538 IRS1 (=G111.5423+00.7776),Moscadelli+2009 parallax,RMS SED,RMS HII; gas_rich=False because l>60 (no ATLASGAL),literature_override
G111.5234+00.8004A,YSO,348.3849583333333,61.485055555555554,111.52383955810865,0.8008160958644781,2.700000047683716,11520.0,False,,False,,10.50889880438916,False,True,False,,,,,RMS
G111.5671+00.7517,YSO,348.5073333333333,61.45552777777778,111.56733013728667,0.7518571311099991,2.700000047683716,44620.0,False,,True,Yang19,0.6853351698571593,True,True,False,,,,,RMS
