name,field,ra,dec,pos_unc_arcsec,vsrc_kms,vref_line,rrl_line,rrl_peak_K,rrl_int,rrl_status,h2o_line,h2o_peak_K,h2o_int,h2o_status,nacl_line,nacl_peak_K,nacl_int,nacl_status,kcl_line,kcl_peak_K,kcl_int,kcl_status,beam_arcsec,source_id
MonR2-IRS3,MonR2-IRS3,06:07:47.85,-06:22:56.2,0.00011484807426331972,9.805185742810718,SiO_v0_J=5-4,,,,no,,,,no,,,,covered,,,,no,0.038610851474447996,1
MonR2-IRS2,MonR2-IRS2,06:07:45.80,-06:22:53.5,3.883963740725336e-05,31.6841309339882,H26alpha,H26alpha,0.2847523391246795,14.642725944519045,detected,,,,no,,,,no,,,,covered,0.044590606208532,3
G081.6802+00.5405B,DR21(OH) B,20:39:00.75,+42:19:27.8,0.0029679802336740804,-3.0,"lit: Schneider et al. 2010, A&A 520, ",,,,covered,,,,covered,,,,covered,,,,covered,0.6871375576727999,1
NGC6334I,NGC 6334I-mm1b,17:20:53.42,-35:46:57.9,0.0007995545523616375,-7.4382293169192275,SO2_18_3_15-18_2_16,H37beta,0.0197989027947187,0.0649105682969093,detected,,,,no,,,,covered,,,,no,0.108590027252688,5
NGC6334IN,NGC 6334I(N)-SMA6,17:20:55.64,-35:45:32.6,0.00027972314588563333,-11.109694990173914,KCl_v2_J31-30,,,,covered,,,,covered,,,,covered,KCl_v2_J31-30,0.0112982997670769,0.047570202499628,detected,0.06685238493449999,2
G076.3829-00.6210,IRAS 20255+3712,20:27:25.76,+37:22:43.1,0.03687055577094013,-9.870481374562194,H42alpha,H42alpha,0.0758027732372284,2.2101030349731445,detected,,,,no,,,,no,KCl_v1_J13-12,,,detected,3.3558681277936797,3
G081.8789+00.7822,G081.8789+00.7822,20:35:34.62,+42:20:08.6,0.0008907694764641919,,,,,,covered,,,,covered,,,,covered,,,,covered,0.122420454251688,3
G345.4938+01.4677,IRAS 16562-3959,16:59:41.63,-40:03:43.7,3.397296163307961e-05,-15.479034854199272,H30alpha,H30alpha,0.0450242646038532,2.5350184440612797,detected,,,,covered,,,,covered,,,,no,0.025968041077384797,1
G342.1156-03.7089,IRAS 17074-4549,17:11:05.95,-45:53:00.9,0.0009566286953642573,,,,,,covered,,,,covered,,,,covered,,,,covered,0.106555840916184,1
G232.6207+00.9959,I07299-1651,07:32:09.78,-16:58:12.1,5.6059601952393286e-05,27.58274406856869,H26alpha,H26alpha,0.1152059733867645,4.669629096984863,detected,,,,no,,,,no,KCl_v2_J47-46,0.00203273515217,-0.0096671544015407,detected,0.03767880334176,2
G326.6618+00.5207,IRAS 15412-5359,15:45:02.85,-54:09:03.2,0.00026478958323695464,-49.37571871266543,H2O_v2_3_13-2_20_232,H30alpha,0.010110754519701,0.0965583324432373,detected,H2O_v2_3_13-2_20_232,0.0121628660708665,0.0234491862356662,detected,,,,covered,,,,no,0.05269873105512,1
G345.0052+01.8209,G345.00+1.82,16:56:40.97,-40:13:23.5,0.006079454136705657,,,H29alpha,,0.0,detected,H2O_5_15-4_22_232,,,detected,,,,covered,,,,covered,0.38380153524156,1
G345.0061+01.7944C,G345.01 C,16:56:40.82,-40:13:23.1,0.0007129791067081631,-21.0,"lit: Caswell et al. 2010, MNRAS 404, ",,,,covered,,,,covered,,,,covered,,,,covered,0.07983853242678,4
G010.8411-02.5919,GGD 27 / I18162,18:19:11.81,-20:47:17.0,0.003023350492992694,11.8,"lit: Fernandez-Lopez et al. 2013, ApJ",H42delta,,0.0,detected,,,,no,,,,covered,,,,covered,0.17858099728512,2
G336.4917-01.4741A,IRAS 16362-4845,16:39:58.33,-48:51:54.7,0.11248391002001026,-24.726874713896542,SO_5_6-4_5,,,,no,,,,covered,,,,covered,,,,covered,8.251694412840001,2
G015.0357-00.6795,IRAS 18174-1612,18:20:24.82,-16:11:35.1,0.0004191468586261901,15.527399143751712,H29alpha,H29alpha,0.0227324757725,0.8836357593536377,detected,,,,covered,NaCl_v2_J19-18,0.003336171619594,0.0233276113867759,detected,,,,covered,0.081881467029432,1
G192.6005-00.0479,S255IR SMA1,06:12:54.01,+17:59:23.1,0.000884611973398688,3.0569994560821216,SO_9_8-8_7,H33beta,0.0534215979278087,0.4573304951190948,detected,,,,no,,,,covered,,,,covered,0.11479179367112399,1
G345.5043+00.3480,I17016-4124,17:04:22.90,-40:44:22.9,7.266292381142451e-05,-23.12780976579417,H2O_5_15-4_22_232,,,,covered,H2O_5_15-4_22_232,0.0079263001680374,0.1157931163907051,detected,NaCl_v2_J17-16,0.0035802833735942,0.0448903702199459,detected,,,,no,0.04849087309272,2
G189.0307+00.7821,IRAS 06056+2131,06:08:40.42,+21:31:01.2,2.5845563404271293e-05,5.080064151233644,H29alpha,H29alpha,0.0118255820125341,0.4974671602249145,detected,,,,no,,,,covered,,,,covered,0.037557421147368,6
