target,proposal,src,species,line,rest_GHz,snr,peak_T,peak_v,dv,v_state,contaminant,contam_offset_MHz,contam_TB,contam_severity,vexc_only,v_off_flag,probable
G015.0357-00.6795,2023.1.01346.S,1,NaCl,NaCl_v2_J19-18,243.570489658774,7.4455790519714355,0.003336171619594,19.66257558983518,,2,,,,low,True,False,False
G015.0357-00.6795,2023.1.01346.S,1,SiS,SiS_v0_14-13,259.21205,5.292109966278076,0.0049751601181924,16.052173082222463,,0,,,,low,False,False,True
G015.0357-00.6795,2023.1.01346.S,1,RRL,H29alpha,256.30205135977275,14.750377655029297,0.0227324757725,15.527399143751712,,-1,,,,low,False,False,True
G015.0357-00.6795,2023.1.01346.S,1,RRL,H30alpha,231.90094246472952,10.689698219299316,0.0153024094179272,17.962485865297843,,-1,,,,low,False,False,True
G076.3829-00.6210,2022.1.00367.S,3,RRL,H40alpha,99.02295871991036,10.878238677978516,0.0638946518301963,-12.518836654931482,-11.518836654931482,-1,,,,low,False,True,False
G076.3829-00.6210,2022.1.00367.S,3,RRL,H42alpha,85.68839524095762,11.072429656982422,0.0758027732372284,-9.870481374562194,-8.870481374562194,-1,,,,low,False,True,False
G189.0307+00.7821,2022.1.01160.S,6,SO,SO2_14_4_10-15_3_13,254.2808,7.905673503875732,0.002526338212192,1.3132329748643097,-7.586767025135691,-1,,,,low,False,True,False
G189.0307+00.7821,2022.1.01160.S,6,SO,SO2_18_3_15-18_2_16,240.94264,6.953266143798828,0.0019290493801236,4.5578643058319575,-4.342135694168043,-1,,,,low,False,False,False
G189.0307+00.7821,2022.1.01160.S,6,RRL,H29alpha,256.30205135977275,23.108562469482425,0.0118255820125341,5.080064151233644,-3.819935848766356,-1,,,,low,False,False,True
G189.0307+00.7821,2022.1.01160.S,6,RRL,H45delta,254.278261247964,5.770593643188477,0.0025006826035678,-1.679926469498081,-10.579926469498082,-1,,,,low,False,True,False
G192.6005-00.0479,2019.1.00315.S,1,SO,SO_9_8-8_7,346.52848,14.21693992614746,0.1749757528305053,3.0569994560821216,-1.543000543917878,-1,,,,low,False,False,False
G192.6005-00.0479,2019.1.00315.S,1,RRL,H33beta,335.20733683418064,10.647021293640137,0.0534215979278087,66.8090186254597,62.2090186254597,-1,,,,low,False,True,False
G192.6005-00.0479,2019.1.00315.S,1,RRL,H37gamma,346.758507367612,10.153000831604004,0.1183853149414062,37.26937368880399,32.66937368880399,-1,,,,low,False,True,False
G232.6207+00.9959,2018.1.01561.S,1,RRL,H25alpha,396.90085874575607,22.251569747924805,0.2618714272975921,4.619048102113943,-18.280951897886055,-1,,,,low,False,True,False
G232.6207+00.9959,2018.1.01561.S,1,RRL,H42alpha,85.68839524095762,5.550077438354492,0.0027773845940828,19.133849560451345,-3.766150439548653,-1,,,,low,False,False,True
G232.6207+00.9959,2023.1.01721.S,2,KCl,KCl_v2_J47-46,355.5881814244421,6.248652935028076,0.00203273515217,22.6700311523173,-0.22996884768269865,2,,,,low,True,False,False
G232.6207+00.9959,2023.1.01721.S,2,SO,SO_8_7-7_6,340.71416,24.99856185913086,0.0757661312818527,19.096152391355965,-3.803847608644034,-1,,,,low,False,False,False
G232.6207+00.9959,2023.1.01721.S,2,RRL,H26alpha,353.62276946537463,210.28778076171875,0.1152059733867645,27.58274406856869,4.682744068568692,-1,,,,low,False,False,True
G326.6618+00.5207,2022.1.01344.S,1,H2O,H2O_5_15-4_22_232,232.6867,5.257506847381592,0.0029790685512125,-37.95078671544432,,-1,,,,low,False,False,True
G326.6618+00.5207,2022.1.01344.S,1,H2O,H2O_v2_3_13-2_20_232,232.9366,16.26155662536621,0.0121628660708665,-49.37571871266543,,2,,,,low,True,False,False
G326.6618+00.5207,2022.1.01344.S,1,RRL,H30alpha,231.90094246472952,9.521891593933104,0.010110754519701,-7.314797029822832,,-1,,,,low,False,False,True
G336.4917-01.4741A,2016.1.01182.S,2,SO,SO_5_6-4_5,219.94944,255.57188415527344,5.312488555908203,-24.726874713896542,,-1,,,,low,False,False,False
G336.4917-01.4741B,2016.1.01182.S,2,SO,SO_5_6-4_5,219.94944,255.57188415527344,5.312488555908203,-24.726874713896542,,-1,,,,low,False,False,False
G345.4938+01.4677,2022.1.00700.S,1,RRL,H30alpha,231.90094246472952,10.63176155090332,0.0450242646038532,-15.479034854199272,,-1,,,,low,False,False,True
G345.5043+00.3480,2022.1.01344.S,2,NaCl,NaCl_v2_J17-16,217.9771475608213,6.622256278991699,0.0035802833735942,-19.99591117874789,,2,,,,low,True,False,False
G345.5043+00.3480,2022.1.01344.S,2,H2O,H2O_5_15-4_22_232,232.6867,15.224379539489746,0.0079263001680374,-23.12780976579417,,-1,,,,low,False,False,True
MonR2-IRS2,2018.1.00446.S,3,RRL,H26alpha,353.62276946537463,171.529541015625,0.2847523391246795,31.6841309339882,21.6841309339882,-1,,,,low,False,True,False
MonR2-IRS2,2018.1.00446.S,3,RRL,H32beta,366.6525554453941,10.40294075012207,0.0464198514819145,24.10463211541268,14.10463211541268,-1,,,,low,False,True,False
MonR2-IRS2,2022.1.00285.S,1,RRL,H30alpha,231.90094246472952,274.2887268066406,0.1830531358718872,-9.686429824458669,-19.68642982445867,-1,,,,low,False,True,False
MonR2-IRS3,2019.1.00437.S,1,SiO,SiO_v0_J=5-4,217.10498,6.448252201080322,0.0045095384120941,9.805185742810718,-0.19481425718928236,0,,,,low,False,False,False
MonR2-IRS3,2022.1.00285.S,1,RRL,H30alpha,231.90094246472952,8.208521842956543,0.0075527145527303,42.07704373212764,32.07704373212764,-1,,,,low,False,True,False
NGC6334I,2016.1.00383.S,5,SO,SO2_18_3_15-18_2_16,240.94264,8.307591438293457,0.0292570032179355,-7.4382293169192275,,-1,,,,low,False,False,False
NGC6334I,2016.1.00383.S,5,RRL,H37beta,240.02114407473783,6.178765773773193,0.0197989027947187,49.72622339908733,,-1,,,,low,False,False,True
NGC6334I,2018.1.00024.S,2,H2O,H2O_5_24-4_31_321,321.22568,8.728971481323242,0.0923971012234687,-1.1451656193838862,,-1,,,,low,False,False,True
NGC6334I,2018.1.00495.S,1,RRL,H51gamma,136.55929238021096,5.345214366912842,0.0056253331713378,-65.29861104235763,,-1,,,,low,False,False,True
NGC6334I,2022.1.00700.S,2,NaCl,NaCl_v1_J18-17,232.5078181868721,6.4708571434021,0.0028498475439846,-6.038283446109854,,1,,,,low,False,False,True
NGC6334I,2022.1.01399.S,12,SiO,SiO_v0_J=5-4,217.10498,5.982981204986572,0.1261245757341385,-5.913831364815225,,0,,,,low,False,False,False
NGC6334IN,2016.1.01147.S,9,NaCl,NaCl_v0_J17-16,221.25921543251548,10.949278831481934,0.0366361439228057,4.18030324540881,,0,,,,low,False,False,True
NGC6334IN,2018.1.00024.S,2,H2O,H2O_5_24-4_31_321,321.22568,9.354092597961426,0.0954278632998466,-1.1451656193838862,,-1,,,,low,False,False,True
NGC6334IN,2021.1.00713.S,2,KCl,KCl_v2_J31-30,235.04073468526624,9.781953811645508,0.0112982997670769,-11.109694990173914,,2,,,,low,True,False,False
NGC6334IN,2021.1.00713.S,2,SO,SO_5_6-4_5,219.94944,6.470978736877441,0.0093384636566042,2.4566884343134587,,-1,,,,low,False,False,False
Orion_SrcI,2025.1.00236.S,3,NaCl,NaCl_v0_J11-10,143.23687917195434,9.093682289123535,0.0044795922003686,14.156615773474917,,0,,,,low,False,False,True
