target,NaCl_kind,NaCl_K,NaCl_prog,KCl_kind,KCl_K,KCl_prog,H2O_kind,H2O_K,H2O_prog,RRL_kind,RRL_K,RRL_prog,SiO_kind,SiO_K,SiO_prog,SiS_kind,SiS_K,SiS_prog,SO_kind,SO_K,SO_prog,AlO_kind,AlO_K,AlO_prog,warning_flags
Orion-SrcI,det,18.553002038383184,obs\_params,ul,4.09143751123516,obs\_params,det,1500.0,literature,ul,,Ginsburg+2019 (ApJ 872 54),det,,Ginsburg+2019 (ApJ 872 54),det,,Ginsburg+2019 (ApJ 872 54),det,,Ginsburg+2019 (ApJ 872 54),na,,Ginsburg+2019 (ApJ 872 54),
Orion-BN,ul,18.155192829280217,obs\_params,ul,13.105982783875454,obs\_params,na,,Plambeck+2013 (ApJ 765 40) and Galvan-Madrid+2012 (A&A 537 A56),ul,9.107110687337151,obs\_params,na,,Plambeck+2013 (ApJ 765 40) and Galvan-Madrid+2012 (A&A 537 A56),na,,Plambeck+2013 (ApJ 765 40) and Galvan-Madrid+2012 (A&A 537 A56),na,,Plambeck+2013 (ApJ 765 40) and Galvan-Madrid+2012 (A&A 537 A56),na,,Plambeck+2013 (ApJ 765 40) and Galvan-Madrid+2012 (A&A 537 A56),
NGC6334I,ul,10.621119746192411,obs\_params,det,31.851793410834983,obs\_params,det,59.72172374556595,obs\_params,det,42.46474918343711,obs\_params,det,,McGuire+2018 (ApJ 851 L46) + Yang+2026 (HOTDISK) + Bonfand+2024,na,,McGuire+2018 (ApJ 851 L46) + Yang+2026 (HOTDISK) + Bonfand+2024,det,,McGuire+2018 (ApJ 851 L46) + Yang+2026 (HOTDISK) + Bonfand+2024,na,,McGuire+2018 (ApJ 851 L46) + Yang+2026 (HOTDISK) + Bonfand+2024,H2O_NONDET_WITH_NACL_DET|H2O_SINGLE_LINE_DET|NaCl_SINGLE_LINE_DET|RRL_SINGLE_LINE_DET|SO_SINGLE_LINE_DET|SiO_SINGLE_LINE_DET
G010.8411-02.5919,ul,10.964234867984027,obs\_params,ul,12.200074328050661,obs\_params,ul,,Fernandez-Lopez+2013 (ApJ 778 72) + Girart+2017 (ApJ 847 58) + Carrasco-Gonzalez+2010 (Science 330 1209),na,,Fernandez-Lopez+2013 (ApJ 778 72) + Girart+2017 (ApJ 847 58) + Carrasco-Gonzalez+2010 (Science 330 1209),det,,Fernandez-Lopez+2013 (ApJ 778 72) + Girart+2017 (ApJ 847 58) + Carrasco-Gonzalez+2010 (Science 330 1209),na,,Fernandez-Lopez+2013 (ApJ 778 72) + Girart+2017 (ApJ 847 58) + Carrasco-Gonzalez+2010 (Science 330 1209),det,,Fernandez-Lopez+2013 (ApJ 778 72) + Girart+2017 (ApJ 847 58) + Carrasco-Gonzalez+2010 (Science 330 1209),na,,Fernandez-Lopez+2013 (ApJ 778 72) + Girart+2017 (ApJ 847 58) + Carrasco-Gonzalez+2010 (Science 330 1209),
G232.6207+00.9959,ul,,Yang+2026 (HOTDISK arxiv 2604.19366),ul,8.982295578079867,obs\_params,ul,,Yang+2026 (HOTDISK arxiv 2604.19366),det,1040.0473531241569,obs\_params,det,,Yang+2026 (HOTDISK arxiv 2604.19366),na,,Yang+2026 (HOTDISK arxiv 2604.19366),na,,Yang+2026 (HOTDISK arxiv 2604.19366),na,,Yang+2026 (HOTDISK arxiv 2604.19366),HIGH_CONFUSION|KCl_SINGLE_LINE_DET|RRL_SINGLE_LINE_DET|SO_SINGLE_LINE_DET
NGC6334IN,det,52.76501435362235,obs\_params,ul,43.97051662052455,obs\_params,tent,,Hunter+2014 (ApJ 788 187) + Brogan+2009 (ApJ 707 1),det,39.78454461762467,obs\_params,ul,,Hunter+2014 (ApJ 788 187) + Brogan+2009 (ApJ 707 1),na,,Hunter+2014 (ApJ 788 187) + Brogan+2009 (ApJ 707 1),ul,,Hunter+2014 (ApJ 788 187) + Brogan+2009 (ApJ 707 1),na,,Hunter+2014 (ApJ 788 187) + Brogan+2009 (ApJ 707 1),H2O_SINGLE_LINE_DET|KCL_DET_NACL_NONDET|KCl_SINGLE_LINE_DET|NaCl_SINGLE_LINE_DET|SO_SINGLE_LINE_DET
G345.4938+01.4677,ul,69.5400116738193,obs\_params,na,,Guzman+2010 (ApJ 725 1429) + Guzman+2014 (ApJ 796 117) + Carrasco-Gonzalez+2018 (ApJ 859 25),ul,128.24286615456606,obs\_params,det,1932.528423758403,obs\_params,det,,Guzman+2010 (ApJ 725 1429) + Guzman+2014 (ApJ 796 117) + Carrasco-Gonzalez+2018 (ApJ 859 25),na,,Guzman+2010 (ApJ 725 1429) + Guzman+2014 (ApJ 796 117) + Carrasco-Gonzalez+2018 (ApJ 859 25),na,,Guzman+2010 (ApJ 725 1429) + Guzman+2014 (ApJ 796 117) + Carrasco-Gonzalez+2018 (ApJ 859 25),na,,Guzman+2010 (ApJ 725 1429) + Guzman+2014 (ApJ 796 117) + Carrasco-Gonzalez+2018 (ApJ 859 25),RRL_SINGLE_LINE_DET
G192.6005-00.0479,ul,20.6584258067995,obs\_params,ul,34.473713005497196,obs\_params,na,,Cesaroni+2018 (A&A 612 A103) + Zinchenko+2020 (A&A 642 A129) + Liu+2020 (ApJ 904 75),det,51.57559969414586,obs\_params,det,,Cesaroni+2018 (A&A 612 A103) + Zinchenko+2020 (A&A 642 A129) + Liu+2020 (ApJ 904 75),na,,Cesaroni+2018 (A&A 612 A103) + Zinchenko+2020 (A&A 642 A129) + Liu+2020 (ApJ 904 75),det,,Cesaroni+2018 (A&A 612 A103) + Zinchenko+2020 (A&A 642 A129) + Liu+2020 (ApJ 904 75),na,,Cesaroni+2018 (A&A 612 A103) + Zinchenko+2020 (A&A 642 A129) + Liu+2020 (ApJ 904 75),HIGH_CONFUSION|SO_SINGLE_LINE_DET
IRAS17233-3606,det,40.169550969162046,obs\_params,ul,31.13798309104302,obs\_params,det,246.45926162107497,obs\_params,ul,66.66288866573962,obs\_params,det,,Ginsburg+2023 (IRAS 17233-3606 = G351.77-0.54 mm1),det,,Ginsburg+2023 (IRAS 17233-3606 = G351.77-0.54 mm1),det,,Ginsburg+2023 (IRAS 17233-3606 = G351.77-0.54 mm1),na,,Ginsburg+2023 (IRAS 17233-3606 = G351.77-0.54 mm1),H2O_SINGLE_LINE_DET|KCl_SINGLE_LINE_DET|KCl_VEXC_ONLY|NaCl_SINGLE_LINE_DET|NaCl_VEXC_ONLY
G345.5043+00.3480,ul,15.320400787165362,obs\_params,ul,,Yang+2026 (HOTDISK arxiv 2604.19366),det,104.44288006300842,obs\_params,ul,129.65147876739195,obs\_params,na,,Yang+2026 (HOTDISK arxiv 2604.19366),ul,,Yang+2026 (HOTDISK arxiv 2604.19366),na,,Yang+2026 (HOTDISK arxiv 2604.19366),na,,Yang+2026 (HOTDISK arxiv 2604.19366),H2O_SINGLE_LINE_DET|NaCl_SINGLE_LINE_DET|NaCl_VEXC_ONLY
G014.9958-00.6732,ul,0.05090764017725703,2019.1.00195.L,ul,0.05198726577093313,2019.1.00195.L,na,,,na,,,ul,0.06380927023059212,2019.1.00195.L,na,,,ul,0.05578379104457713,2019.1.00195.L,na,,,
G015.0357-00.6795,tent,10.049351524312739,2023.1.01346.S,ul,2.044747825951437,2023.1.01346.S,ul,6.651221878286937,2023.1.01346.S,det,67.89424701407069,2023.1.01346.S,ul,3.267106856946709,2023.1.01346.S,ul,2.889880065369943,2023.1.01346.S,na,,,na,,,H2O_NONDET_WITH_NACL_DET|NaCl_SINGLE_LINE_DET|NaCl_VEXC_ONLY|SiS_SINGLE_LINE_DET
G015.1288-00.6717,ul,0.07309035331314752,2019.1.00195.L,ul,0.055670186544543976,2019.1.00195.L,na,,,na,,,ul,0.027867909837431086,2019.1.00195.L,na,,,det,0.4639109410357184,2019.1.00195.L,na,,,
G076.3829-00.6210,na,,,na,,,na,,,det,1.5941960220712297,2022.1.00367.S,na,,,na,,,na,,,na,,,
G080.8645+00.4197,ul,0.19684902734651047,2024.1.01642.S,na,,,na,,,na,,,ul,0.18836963303588328,2024.1.01642.S,na,,,na,,,na,,,
G081.6802+00.5405A,ul,0.21416589030632577,2019.1.00263.S,ul,0.7938508059117059,2019.1.00263.S,ul,0.1934081116536071,2019.1.00263.S,det,4.229739203031948,2019.1.00263.S,det,2.5137780627085,2019.1.00263.S,na,,,det,4.139286322859591,2019.1.00263.S,na,,,RRL_SINGLE_LINE_DET|SO_SINGLE_LINE_DET|SiO_SINGLE_LINE_DET
G081.6802+00.5405B,ul,0.20868338292930097,2019.1.00263.S,ul,0.5786509515025472,2019.1.00263.S,ul,0.22150394680050356,2019.1.00263.S,ul,0.4120567762741313,2019.1.00263.S,ul,0.4556729884842358,2019.1.00263.S,na,,,ul,0.47605512688677665,2019.1.00263.S,na,,,
G081.8789+00.7822,ul,3.856806114655262,2022.1.01756.S,ul,5.257257870616887,2022.1.01756.S,ul,5.035777017236531,2022.1.01756.S,ul,5.462712920061564,2022.1.01756.S,ul,4.772934148683625,2022.1.01756.S,na,,,na,,,na,,,
G189.0307+00.7821,ul,12.723048331828412,2022.1.01160.S,ul,13.519913440464457,2022.1.01160.S,na,,,det,48.091340890317134,2022.1.01160.S,na,,,ul,6.713000436332358,2022.1.01160.S,na,,,na,,,
G268.4222-00.8490,ul,0.34676702428273215,2021.1.00095.S,ul,0.580608307576959,2021.1.00095.S,ul,0.4243731003635471,2021.1.00095.S,det,16.654461670221753,2021.1.00095.S,ul,0.4950225046628362,2021.1.00095.S,na,,,ul,0.4868417297615526,2021.1.00095.S,na,,,RRL_SINGLE_LINE_DET
G326.6618+00.5207,ul,6.621871857174887,2022.1.01344.S,na,,,ul,6.198306554735602,2022.1.01344.S,ul,11.60557685243522,2022.1.01344.S,na,,,na,,,na,,,na,,,HIGH_CONFUSION|RRL_SINGLE_LINE_DET
G336.4917-01.4741A,ul,0.007236068344863379,2016.1.01182.S,ul,0.01120284913022246,2016.1.01182.S,ul,0.005613214016817682,2016.1.01182.S,na,,,na,,,na,,,det,3.530230602499134,2016.1.01182.S,na,,,SO_SINGLE_LINE_DET
G336.4917-01.4741B,ul,0.007236068344863379,2016.1.01182.S,ul,0.01120284913022246,2016.1.01182.S,ul,0.005613214016817682,2016.1.01182.S,na,,,na,,,na,,,det,3.530230602499134,2016.1.01182.S,na,,,SO_SINGLE_LINE_DET
