source,status,vcen_kms,distance_kpc,n_cubes,NaCl_snr,NaCl_peak_K,NaCl_noise_K,NaCl_detected,NaCl_n_lines,KCl_snr,KCl_peak_K,KCl_noise_K,KCl_detected,KCl_n_lines,H2O_snr,H2O_peak_K,H2O_noise_K,H2O_detected,H2O_n_lines
G008.672-00.682,ok,16.799999237060547,nan,4,3.2621099150715644,487.8084957102909,149.53772509519789,False,4,3.768041381801133,453.9953513585963,120.48576577510552,False,4,6.702299122799306,384.61165638630916,57.38503300725124,True,1
G008.872-00.492,ok,20.100000381469727,nan,4,5.322125473262127,103.72202422982448,19.4888348181407,True,4,5.927942273619726,112.78233598616345,19.025545590763013,True,4,5.606750516544295,193.7047461448743,34.548486788076964,True,1
G009.213-00.202,ok,42.099998474121094,nan,20,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G010.8411-02.5919,skipped_no_vlsr,nan,nan,0,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G012.8062-00.1987,ok,35.400001525878906,2.4000000953674316,5,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G014.9958-00.6732,ok,21.3,2.0,8,6.190330807835413,0.43940279625746864,0.07098211871024637,True,1,5.860504516100292,0.27181641108922977,0.04638105991429256,True,3,nan,nan,nan,False,0
G015.1288-00.6717,ok,19.0,2.0,8,4.909692858353707,0.40381508197772287,0.08224854255203412,False,1,6.689765649765946,0.2968975680455216,0.04438086228863773,True,3,nan,nan,nan,False,0
G018.3412+01.7681,ok,33.0,2.799999952316284,4,4.51840980760154,37.31044932770356,8.257429254189024,False,3,4.18757772824747,22.505383380504274,5.3743201537951935,False,5,4.388643128688293,60.104771775591985,13.69552502063582,False,1
G026.3819+01.4057A,ok,42.099998474121094,2.9000000953674316,8,7.303208956651213,0.3828041460270964,0.05241588297682037,True,2,6.189998964316971,0.23015376046413144,0.03718155072252544,True,5,5.768792658331099,0.3932403477560964,0.0681668368143188,True,1
G026.4207+01.6858,skipped_no_vlsr,nan,nan,0,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G035.1979-00.7427,ok,33.900001525878906,2.200000047683716,9,nan,nan,nan,False,1,nan,nan,nan,False,1,nan,nan,nan,False,0
G076.3829-00.6210,skipped_no_vlsr,nan,nan,0,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G080.8645+00.4197,skipped_no_vlsr,nan,nan,0,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G081.6802+00.5405B,ok,-3.0,1.2000000476837158,8,7.71293742334035,3.746475793547015,0.48573916627531466,True,2,7.997926970435015,2.5516780148855975,0.3190424249081146,True,6,7.816615652306288,5.197169630931212,0.6648874477278143,True,1
G189.0307+00.7821,skipped_no_vlsr,nan,nan,0,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G192.6005-00.0479,skipped_no_vlsr,nan,nan,0,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G232.6207+00.9959,skipped_no_vlsr,nan,nan,0,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G316.8112-00.0566,ok,-38.20000076293945,2.700000047683716,1,5.138994998428023,197.66967836564336,38.464656693791085,True,1,4.7527957448277665,186.63944282915747,39.26940117977256,False,1,4.901216662974162,189.21981330710634,38.60670244116157,False,1
G326.6618+00.5207,ok,-39.599998474121094,1.7999999523162842,7,5.149700608096705,59.43414521247329,11.54128166577819,True,1,5.901828584537001,26.85495002091836,4.550276179026832,True,5,5.103527616875473,47.048928019146516,9.218903384312679,True,1
G328.8074+00.6324,ok,-41.29999923706055,2.799999952316284,1,5.1424566132431275,287.01757436302637,55.81331957646146,True,1,5.0419409670772515,284.7699468597701,56.48022234279502,True,1,4.893116963244213,270.2072873833689,55.22191466361704,False,1
G336.4917-01.4741A,ok,-23.399999618530273,2.0,4,8.575743544731486,0.028925102193569908,0.0033728972937093096,True,3,2.8450900170051394,0.048328166703852184,0.01698651586241353,False,3,nan,nan,nan,False,1
G336.4917-01.4741B,ok,-23.399999618530273,2.0,4,0.23569113939567513,0.003278426106623517,0.013909840289412573,False,3,2.65563575322936,0.04916369673889479,0.018512966877746603,False,3,nan,nan,nan,False,1
G339.6221-00.1209,ok,-34.20000076293945,2.799999952316284,4,2.048009362050616,0.059577198178178165,0.0290902958170685,False,2,3.225208467671396,0.09017760846736643,0.027960241755310398,False,3,nan,nan,nan,False,0
G339.8838-01.2588,ok,-32.0,2.700000047683716,1,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G343.1261-00.0623,ok,-30.399999618530273,2.799999952316284,1,5.484930829329007,507.1145173898277,92.4559549006865,True,1,5.3448155529749135,504.7321107478095,94.43396235944506,True,1,5.298605802949855,491.388401202444,92.73918828399667,True,1
G344.2207-00.5953,ok,-23.200000762939453,2.5,12,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G345.0034-00.2240A,ok,-27.100000381469727,2.799999952316284,7,5.3154401736967625,33.658292391779156,6.33217406120679,True,3,4.694544029563948,24.92780808488515,5.309952985402198,False,5,4.220616541030486,40.325218529860074,9.554343100786516,False,1
G345.0061+01.7944C,skipped_no_vlsr,nan,nan,0,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G345.4881+00.3148,ok,-17.299999237060547,2.0999999046325684,1,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G345.4938+01.4677,ok,-12.600000381469727,2.4000000953674316,1,nan,nan,nan,False,0,nan,nan,nan,False,0,nan,nan,nan,False,0
G345.5043+00.3480,ok,-17.0,2.0,7,nan,nan,nan,False,0,nan,nan,nan,False,0,15.684222138890808,163.07551569371802,10.397424510416348,True,1
G348.7250-01.0435,ok,-11.600000381469727,2.799999952316284,7,5.192238854613799,136.01674006023796,26.196163903240723,True,1,4.670261269863689,44.840726275706814,9.601331421232368,False,5,4.691004071618148,95.38538561780238,20.33368212040359,False,1
