name,origin,n_cubes,vcen_kms,NaCl_snr,KCl_snr,H2O_snr,status
G008.672-00.682,survey_2026,4,16.799999237060547,3.2621099150715644,3.768041381801133,6.702299122799306,ok
G008.872-00.492,survey_2026,4,20.100000381469727,5.322125473262127,5.927942273619726,5.606750516544295,ok
G009.213-00.202,survey_2026,20,42.099998474121094,nan,nan,nan,ok
G010.8411-02.5919,survey_2026,5,11.8,3.923006433690265,nan,nan,ok
G012.8062-00.1987,survey_2026,5,35.400001525878906,nan,nan,nan,ok
G014.9958-00.6732,survey_2026,8,21.3,6.190330807835413,5.860504516100292,nan,ok
G015.0357-00.6795,survey_2026,1,19.200000762939453,5.853625250009393,5.279328667937486,4.901612739234105,ok
G015.1288-00.6717,survey_2026,8,19.0,4.909692858353707,6.689765649765946,nan,ok
G018.3412+01.7681,survey_2026,4,33.0,4.272957768440531,4.18561463780115,4.388643128688293,ok
G026.3819+01.4057A,survey_2026,8,42.099998474121094,7.303208956651213,6.189998964316971,5.768792658331099,ok
G026.4207+01.6858,survey_2026,0,nan,nan,nan,nan,skipped_no_vlsr
G035.1979-00.7427,survey_2026,9,33.900001525878906,nan,nan,nan,ok
G076.3829-00.6210,survey_2026,0,nan,nan,nan,nan,skipped_no_vlsr
G080.8645+00.4197,survey_2026,0,nan,nan,nan,nan,skipped_no_vlsr
G081.6802+00.5405B,survey_2026,8,-3.0,7.71293742334035,7.997926970435015,7.816615652306288,ok
G189.0307+00.7821,survey_2026,0,nan,nan,nan,nan,skipped_no_vlsr
G192.6005-00.0479,survey_2026,0,nan,nan,nan,nan,skipped_no_vlsr
G232.6207+00.9959,survey_2026,10,22.9,nan,3.577495166380879,nan,ok
G316.8112-00.0566,survey_2026,1,-38.20000076293945,5.138994998428023,4.7527957448277665,4.901216662974162,ok
G326.6618+00.5207,survey_2026,7,-39.599998474121094,5.149700608096705,5.901828584537001,5.103527616875473,ok
G328.8074+00.6324,survey_2026,1,-41.29999923706055,5.1424566132431275,5.0419409670772515,4.893116963244213,ok
G336.4917-01.4741A,survey_2026,4,-23.399999618530273,8.575743544731486,2.8450900170051394,nan,ok
G336.4917-01.4741B,survey_2026,4,-23.399999618530273,0.23569113939567513,2.65563575322936,nan,ok
G339.6221-00.1209,survey_2026,4,-34.20000076293945,2.048009362050616,3.225208467671396,nan,ok
G339.8838-01.2588,survey_2026,1,-32.0,nan,nan,nan,ok
G343.1261-00.0623,survey_2026,1,-30.399999618530273,5.484930829329007,5.3448155529749135,5.298605802949855,ok
G344.2207-00.5953,survey_2026,12,-23.200000762939453,nan,nan,nan,ok
G345.0034-00.2240A,survey_2026,7,-27.100000381469727,5.3154401736967625,4.694544029563948,4.220616541030486,ok
G345.0061+01.7944C,survey_2026,0,nan,nan,nan,nan,skipped_no_vlsr
G345.4881+00.3148,survey_2026,1,-17.299999237060547,4.992897932275392,5.168230334263881,5.1553193761778555,ok
G345.4938+01.4677,survey_2026,1,-12.600000381469727,5.223357970569014,5.225523373103361,5.443849391348622,ok
G345.5043+00.3480,survey_2026,7,-17.0,6.418581432642886,14.612112780272673,15.684222138890808,ok
G348.7250-01.0435,survey_2026,7,-11.600000381469727,5.192238854613799,4.670261269863689,4.691004071618148,ok
G351.444+00.659_037,DIHCA2,4,-3.9000000953674316,3.0527546711116296,2.9933613061642603,3.0944731679243636,ok
G351.444+00.659_031,DIHCA2,4,-3.9000000953674316,5.637176526986508,6.859863157595081,4.955711285615772,ok
G351.444+00.659_024,DIHCA2,4,-3.9000000953674316,4.544054320256927,4.552637003181971,nan,ok
G351.444+00.659_021,DIHCA2,4,-3.9000000953674316,3.458245198778808,4.372792152675336,3.6227407012303794,ok
G351.444+00.659_020,DIHCA2,4,-3.9000000953674316,3.458245198778808,3.1079410736095827,nan,ok
G351.444+00.659_018,DIHCA2,4,-3.9000000953674316,1.4680471286389747,nan,nan,ok
G351.444+00.659_003,DIHCA2,4,-3.9000000953674316,1.860136584419609,nan,nan,ok
G351.416+00.646_012,DIHCA2,4,-7.900000095367432,2.623047298667452,3.612849437470117,2.8025621832644596,ok
G351.416+00.646_008,DIHCA2,4,-7.900000095367432,4.6505063710157515,7.495299441325922,nan,ok
G351.416+00.646_006,DIHCA2,4,-7.900000095367432,10.071151561694654,19.248697244738665,9.525300345302766,ok
G351.416+00.646_005,DIHCA2,4,-7.900000095367432,6.72041366307111,11.823341880095597,3.241909290286088,ok
G351.416+00.646_004,DIHCA2,4,-7.900000095367432,3.501473313086034,2.5353327940122043,nan,ok
G351.416+00.646_003,DIHCA2,4,-7.900000095367432,4.988441552920189,3.657053577825907,3.57622234494616,ok
G351.416+00.646_002,DIHCA2,4,-7.900000095367432,9.504207355558394,19.438295740046776,7.611618802708411,ok
G351.416+00.646_001,DIHCA2,4,-7.900000095367432,2.2323314949376853,nan,nan,ok
G350.017-00.519_003,DIHCA2,4,-25.899999618530273,7.505574694216046,7.23495015415712,5.246922418619372,ok
G348.701-01.042_eb1_005,DIHCA2,4,-14.399999618530273,4.426378086533035,10.18767793108692,2.8988414276898338,ok
G348.549-00.979_eb1_004,DIHCA2,4,-15.199999809265137,2.7412474669929088,nan,nan,ok
G348.533-00.982_eb1_006,DIHCA2,4,-14.800000190734863,4.322474054090204,4.581026894086995,nan,ok
G348.531-00.972_eb1_005,DIHCA2,4,-14.800000190734863,1.657662857158318,2.4623742404962723,1.8630040044342586,ok
G348.531-00.972_eb1_002,DIHCA2,4,-14.800000190734863,2.9185930056833835,2.5756333585399487,nan,ok
G345.493+01.469_047,DIHCA2,4,-12.600000381469727,1.7733456993378829,1.860644807368666,1.5232193988081035,ok
G345.493+01.469_044,DIHCA2,4,-12.600000381469727,0.807504984101937,1.5472740260138333,2.277704190772292,ok
G345.493+01.469_042,DIHCA2,4,-12.600000381469727,1.7459376746488262,2.3497902883463113,1.4367476837244535,ok
G345.493+01.469_041,DIHCA2,4,-12.600000381469727,1.1173185196663276,0.8794025118287235,1.822507690161259,ok
G345.493+01.469_039,DIHCA2,4,-12.600000381469727,1.1907006559102573,1.6447485934374892,1.3373187745947666,ok
G345.493+01.469_021,DIHCA2,4,-12.600000381469727,21.089741311605227,25.665578563983214,9.168083886792692,ok
G345.488+00.314_012,DIHCA2,4,-17.299999237060547,4.368051472216179,12.342665116248336,4.099748618151584,ok
G345.488+00.314_008,DIHCA2,4,-17.299999237060547,1.8275641652454166,2.8546951847422606,nan,ok
G345.488+00.314_006,DIHCA2,4,-17.299999237060547,2.34878011559227,1.4162385486837676,nan,ok
G345.181+01.045_011,DIHCA2,4,-16.299999237060547,1.2583175854466546,2.26510784697857,nan,ok
G345.181+01.045_006,DIHCA2,4,-16.299999237060547,4.295563158876882,4.357992114579283,nan,ok
G345.181+01.045_004,DIHCA2,4,-16.299999237060547,1.729523923809148,1.5443306505716348,1.9920581199326488,ok
