name,origin,type,glon,glat,ra_deg,dec_deg,dist_kpc,lbol_lsun,n_alma_obs,best_res_arcsec,alma_proposals,alma_target_names
OrionB-Flame,uchii_2026,HII,206.47537526394552,-16.326375163506295,85.42916666666667,-1.8416666666666668,0.41,20000.0,1.0,0.15,2017.1.01102.S,
S140-IRS1,uchii_2026,YSO,106.79687822129762,5.312159352845186,334.8259583333333,63.31319444444444,0.76,20000.0,0.0,,,IRAS 22176+6303
MonR2-IRS3,manual,YSO,213.7049737843692,-12.59704986262683,91.94933333333331,-6.382499999999999,0.83,30000.0,,,2015.1.00453.S; 2016.1.00622.S; 2016.1.01144.S; 2017.1.00729.S; 2018.1.00556.S; 2018.1.01868.S; 2019.1.00437.S; 2019.2.00062.S; 2021.1.00311.S; 2022.1.00285.S; 2022.1.00974.S,G213.71-12.60; MonR2; MonR2IRS2; MonR2IRS3; Mon_R2; Mon_R2_IRS3_A; Monoceros_R2; IRAS 06052-0622
GGD12-15,uchii_2026,YSO,213.89759468445288,-11.838355210901874,92.71708333333332,-6.213055555555556,0.83,10000.0,20.0,5.771533145813817,2018.1.01868.S,IRAS 06084-0611
MonR2-IRS2,manual,YSO,213.7002386676241,-12.604171011182569,91.940847,-6.381532,0.83,10000.0,,0.029,2018.1.00446.S; 2012.1.00522.S; 2022.1.00285.S,MonR2-IRS2; IRAS 06052-0622
NGC6514,uchii_2026,HII,7.085893637515013,-0.2873264847172545,270.675,-22.971666666666664,1.18,10000.0,0.0,,,
G081.6802+00.5405B,RMS,HII region,81.68361244809022,0.5409804293409513,309.75520833333326,42.33166666666667,1.5,28328.0,16.0,0.2624170499968753,2018.1.00492.S; 2019.1.00263.S,DR21
NGC6334I,manual,HII/YSO,351.4163,0.6457,260.2220833333333,-35.78306,1.3,200000.0,,,,IRAS 17175-3544
IRAS17233-3606,uchii_2026,YSO,351.775211780618,-0.5370277228997836,261.67833333333334,-36.15472222222222,1.3,100000.0,185.0,0.0223386315136247,2013.1.00260.S; 2013.1.00960.S; 2015.1.00496.S; 2015.1.00601.S; 2016.1.01137.S; 2017.1.00101.S; 2017.1.00237.S; 2017.1.01355.L; 2019.1.00146.S; 2019.1.00685.S; 2021.1.00095.S; 2021.1.00311.S; 2021.2.00001.S; 2022.1.00974.S; 2023.1.00415.S; 2023.1.01382.S; 2023.1.01453.S; 2024.1.00117.S,IRAS 17233-3606
NGC6334IN,manual,YSO,351.4247,0.6533,260.22754166666664,-35.75239,1.3,50000.0,,,,
Lagoon-Her36,uchii_2026,HII,5.970763793765136,-1.1736772945245502,270.91800051346,-24.37857153902,1.34,10000.0,12.0,0.4727406783248643,2016.1.01182.S; 2024.1.01709.S,
G076.3829-00.6210,RMS,HII/YSO,76.38323380555404,-0.6213406435034161,306.86154166666665,37.37994444444445,1.399999976158142,39720.0,6.0,2.1600642770209446,2022.1.00367.S,Sh2-106; IRAS 20255+3712
G081.8789+00.7822,RMS,HII region,81.8789347284675,0.7815458061712057,309.65712499999995,42.63297222222222,1.399999976158142,20980.0,10.0,0.0667893823516519,2017.1.01593.S; 2022.1.01756.S,N30; W75N
G080.9383-00.1268,RMS,HII region,80.93853386291694,-0.1272404355501404,309.85799999999995,41.33377777777778,1.399999976158142,20040.0,0.0,,,IRAS 20376+4109
G080.8645+00.4197,RMS,HII region,80.86453801097473,0.4199570503083964,309.217375,41.60669444444444,1.399999976158142,16340.0,4.0,0.3621021623786212,2024.1.01642.S,N10; IRAS 20350+4126
G077.9637-00.0075,RMS,HII region,77.9648469801974,-0.0061789149772571,307.403,39.02275,1.399999976158142,12910.0,0.0,,,IRAS 20277+3851
G083.0936+03.2724,RMS,HII region,83.09337984208265,3.2719605989128926,307.8976666666666,45.09605555555556,1.399999976158142,12320.0,0.0,,,
G126.7144-00.8220,uchii_2026,YSO,126.7144,-0.8219999999999464,20.88702541205632,61.81369960517514,1.44,10900.0,0.0,,,IRAS 01202+6133
