name,common,cls,gname,coord,d,d_str,lbol,dref,lref,v_lsr,vref,codes,per_code,best_res_au,n_obs_total
OrionB-Flame,NGC 2024 (Flame),HII\tablenotemark{a},\texttt{G206.4754-16.3264},05:41:40.5-01:54:16,0.41,0.41,60000.0,$^{[1]}$,$^{[2]}$,\nodata,,2017.1.01102.S,"[(np.str_('2017.1.01102.S'), 0.1417808773080221)]",58.13015969628906,22
Orion-BN,Orion-BN,MYSO,\texttt{G208.9900-19.3849},05:35:14.1-05:22:23,0.41,0.41,1900.0,$^{[3]}$,$^{[4]}$,\nodata,,2011.0.00008.E; 2011.0.00170.S; 2011.0.00199.S; 2012.1.00123.S; 2012.1.00146.S; 2012.1.00395.S; 2012.1.00498.S; 2013.1.00048.S; 2013.1.00546.S; 2013.1.00553.S; 2013.1.01034.S; 2015.1.00534.S; 2015.1.00793.S; 2016.1.00165.S; 2016.1.00297.S; 2016.1.00970.S; 2016.1.01019.S; 2017.1.00497.S; 2017.1.01149.S; 2017.1.01313.S; 2017.1.01353.S; 2018.1.01107.S; 2018.1.01162.S; 2019.1.00246.S; 2022.1.00007.S; 2022.1.00016.S; 2022.1.01413.S; 2023.1.01382.S,"[(np.str_('2011.0.00008.E'), 0.4865278145616769), (np.str_('2011.0.00170.S'), 0.66315448645687), (np.str_('2011.0.00199.S'), 0.2181727336050898), (np.str_('2012.1.00123.S'), 0.16126830340886195), (np.str_('2012.1.00146.S'), 0.20726178413127194), (np.str_('2012.1.00395.S'), 0.7411964272661057), (np.str_('2012.1.00498.S'), 0.30690627724653097), (np.str_('2013.1.00048.S'), 0.07808720163614691), (np.str_('2013.1.00546.S'), 0.9533518416183003), (np.str_('2013.1.00553.S'), 0.8699288392242913), (np.str_('2013.1.01034.S'), 0.3153074981422712), (np.str_('2015.1.00534.S'), 0.09015106038228245), (np.str_('2015.1.00793.S'), 0.4047341532953459), (np.str_('2016.1.00165.S'), 0.018184753738744126), (np.str_('2016.1.00297.S'), 0.3911800231112463), (np.str_('2016.1.00970.S'), 0.055009895474940576), (np.str_('2016.1.01019.S'), 0.20856119394041198), (np.str_('2017.1.00497.S'), 0.05004335458539968), (np.str_('2017.1.01149.S'), 0.20211851625640528), (np.str_('2017.1.01313.S'), 0.327280132342357), (np.str_('2017.1.01353.S'), 0.8073809670634985), (np.str_('2018.1.01107.S'), 0.05754589947144788), (np.str_('2018.1.01162.S'), 0.44577799663097334), (np.str_('2019.1.00246.S'), 0.6823388678669325), (np.str_('2022.1.00007.S'), 0.01640983241570144), (np.str_('2022.1.00016.S'), 0.6077963927249589), (np.str_('2022.1.01413.S'), 1.1008966206794328), (np.str_('2023.1.01382.S'), 0.10031537612671902)]",6.72803129043759,419
Orion-SrcI,Orion-SrcI,MYSO,\texttt{G208.9900-19.3849},05:35:14.5-05:22:31,0.41,0.41,10000.0,$^{[3]}$,$^{[5]}$,\nodata,,2011.0.00008.E; 2011.0.00170.S; 2011.0.00199.S; 2012.1.00123.S; 2012.1.00146.S; 2012.1.00395.S; 2012.1.00498.S; 2013.1.00048.S; 2013.1.00546.S; 2013.1.00553.S; 2013.1.01034.S; 2015.1.00534.S; 2015.1.00793.S; 2016.1.00165.S; 2016.1.00297.S; 2016.1.00970.S; 2016.1.01019.S; 2017.1.00497.S; 2017.1.01149.S; 2017.1.01313.S; 2017.1.01353.S; 2018.1.01107.S; 2018.1.01162.S; 2019.1.00246.S; 2022.1.00007.S; 2022.1.00016.S; 2022.1.01413.S; 2023.1.01382.S,"[(np.str_('2011.0.00008.E'), 0.4865278145616769), (np.str_('2011.0.00170.S'), 0.66315448645687), (np.str_('2011.0.00199.S'), 0.2181727336050898), (np.str_('2012.1.00123.S'), 0.16126830340886195), (np.str_('2012.1.00146.S'), 0.20726178413127194), (np.str_('2012.1.00395.S'), 0.7411964272661057), (np.str_('2012.1.00498.S'), 0.30690627724653097), (np.str_('2013.1.00048.S'), 0.07808720163614691), (np.str_('2013.1.00546.S'), 0.9533518416183003), (np.str_('2013.1.00553.S'), 0.8699288392242913), (np.str_('2013.1.01034.S'), 0.3153074981422712), (np.str_('2015.1.00534.S'), 0.09015106038228245), (np.str_('2015.1.00793.S'), 0.4047341532953459), (np.str_('2016.1.00165.S'), 0.018184753738744126), (np.str_('2016.1.00297.S'), 0.3911800231112463), (np.str_('2016.1.00970.S'), 0.055009895474940576), (np.str_('2016.1.01019.S'), 0.20856119394041198), (np.str_('2017.1.00497.S'), 0.05004335458539968), (np.str_('2017.1.01149.S'), 0.20211851625640528), (np.str_('2017.1.01313.S'), 0.327280132342357), (np.str_('2017.1.01353.S'), 0.8073809670634985), (np.str_('2018.1.01107.S'), 0.05754589947144788), (np.str_('2018.1.01162.S'), 0.44577799663097334), (np.str_('2019.1.00246.S'), 0.6823388678669325), (np.str_('2022.1.00007.S'), 0.01640983241570144), (np.str_('2022.1.00016.S'), 0.6077963927249589), (np.str_('2022.1.01413.S'), 1.1008966206794328), (np.str_('2023.1.01382.S'), 0.10031537612671902)]",6.72803129043759,419
S140-IRS1,S140-IRS1,MYSO,\texttt{G106.7969+05.3122},22:19:18.2+63:18:47,0.76,0.76,8500.0,$^{[6]}$,$^{[7]}$,\nodata,,,[],,0
MonR2-IRS2,MonR2-IRS2,MYSO,\texttt{G213.7002-12.6042},06:07:45.8-06:22:54,0.83,0.83,6500.0,$^{[8]}$,$^{[9]}$,+10.0,lit.\tablenotemark{b},2012.1.00522.S; 2018.1.00446.S; 2022.1.00285.S,"[(np.str_('2012.1.00522.S'), 0.05071583837326452), (np.str_('2018.1.00446.S'), 0.02891800438263008), (np.str_('2022.1.00285.S'), 0.1422337930428938)]",24.00194363758297,219
GGD12-15,GGD 12-15,MYSO,\texttt{G213.8976-11.8384},06:10:52.1-06:12:47,0.83,0.83,10000.0,$^{[10]}$,$^{[10]}$,\nodata,,,[],4790.372511025468,20
MonR2-IRS3,MonR2-IRS3,MYSO,\texttt{G213.7050-12.5970},06:07:47.8-06:22:57,0.83,0.83,30000.0,$^{[8]}$,$^{[9]}$,+10.0,lit.\tablenotemark{c},2019.1.00437.S; 2021.1.00311.S; 2022.1.00285.S,"[(np.str_('2019.1.00437.S'), 0.032525815014855256), (np.str_('2021.1.00311.S'), 0.2636696142394328), (np.str_('2022.1.00285.S'), 0.14294057878954364)]",26.99642646232986,223
NGC6514,NGC 6514 (M20),HII,\texttt{G007.0859-00.2873},18:02:42.0-22:58:18,1.18,1.2,2000.0,$^{[11]}$,$^{[12]}$,\nodata,,,[],,0
G076.3829-00.6210,IRAS 20255+3712,MYSO,\texttt{G076.3832-00.6213},20:27:26.8+37:22:48,1.3,1.3,34200.0,$^{[13]}$,$^{[14]}$,-1.0,lit.\tablenotemark{d},,[],2808.083560127228,6
NGC6334IN,NGC 6334I(N)-SMA6,MYSO,\texttt{G351.4247+00.6533},17:20:54.6-35:45:09,1.3,1.3,50000.0,$^{[15]}$,$^{[16]}$,\nodata,,2016.1.01036.S; 2016.1.01147.S; 2018.1.00024.S; 2021.1.00713.S; 2022.1.00700.S,"[(np.str_('2016.1.01036.S'), 0.04362154409628306), (np.str_('2016.1.01147.S'), 0.10123067563592066), (np.str_('2018.1.00024.S'), 0.08088539804937869), (np.str_('2021.1.00713.S'), 0.04760148897376911), (np.str_('2022.1.00700.S'), 0.02102353691744641)]",27.33059799268033,218
