name,origin,family,snr_max,n_lines_avail,noise_K,ul3_stack_K,ul3_per_line_K,ul3_per_line_Jybeam,best_line
G008.672-00.682,survey_2026,NaCl,3.262,4,149.53773,448.6132,897.2264,,stacked
G010.8411-02.5919,survey_2026,NaCl,3.923,1,0.8639,2.5917,2.5917,,stacked
G015.0357-00.6795,survey_2026,H2O,4.902,1,46.84569,140.5371,140.5371,,stacked
G015.1288-00.6717,survey_2026,NaCl,4.91,1,0.08225,0.2467,0.2467,,stacked
G018.3412+01.7681,survey_2026,NaCl,4.273,3,8.47168,25.415,44.0201,,stacked
G018.3412+01.7681,survey_2026,H2O,4.389,1,13.69553,41.0866,41.0866,,stacked
G316.8112-00.0566,survey_2026,H2O,4.901,1,38.6067,115.8201,115.8201,,stacked
G328.8074+00.6324,survey_2026,H2O,4.893,1,55.22191,165.6657,165.6657,,stacked
G336.4917-01.4741B,survey_2026,NaCl,0.236,3,0.01391,0.0417,0.0723,,stacked
G339.6221-00.1209,survey_2026,NaCl,2.048,2,0.02909,0.0873,0.1234,,stacked
G345.0034-00.2240A,survey_2026,H2O,4.221,1,9.55434,28.663,28.663,,stacked
G345.4881+00.3148,survey_2026,NaCl,4.993,1,52.52204,157.5661,157.5661,,stacked
G348.7250-01.0435,survey_2026,H2O,4.691,1,20.33368,61.001,61.001,,stacked
G351.444+00.659_037,DIHCA2,H2O,3.094,1,12.64802,,37.9441,0.000898,H2O_232
G351.444+00.659_037,DIHCA2,NaCl,3.053,1,12.56188,,37.6856,0.000891,NaCl_v1_18-17
G351.444+00.659_031,DIHCA2,H2O,4.956,1,13.83229,,41.4969,0.000983,H2O_232
G351.444+00.659_024,DIHCA2,NaCl,4.544,1,14.38543,,43.1563,0.000993,NaCl_v2_17-16
G351.444+00.659_021,DIHCA2,H2O,3.623,1,23.85471,,71.5641,0.001694,H2O_232
G351.444+00.659_021,DIHCA2,NaCl,3.458,4,0.34367,,1.031,2.4e-05,NaCl_v1_17-16
G351.444+00.659_020,DIHCA2,NaCl,3.458,2,0.34367,,1.031,2.4e-05,NaCl_v1_17-16
G351.444+00.659_018,DIHCA2,NaCl,1.468,1,10.16341,,30.4902,0.000707,NaCl_v1_17-16
G351.444+00.659_003,DIHCA2,NaCl,1.86,1,63.95894,,191.8768,0.005999,NaCl_v1_17-16
G351.416+00.646_012,DIHCA2,H2O,2.803,1,28.2431,,84.7293,0.002772,H2O_232
G351.416+00.646_012,DIHCA2,NaCl,2.623,1,28.11974,,84.3592,0.002756,NaCl_v1_18-17
G351.416+00.646_008,DIHCA2,NaCl,4.651,3,12.91059,,38.7318,0.001227,NaCl_v2_17-16
G351.416+00.646_005,DIHCA2,H2O,3.242,1,17.70682,,53.1204,0.001738,H2O_232
G351.416+00.646_004,DIHCA2,NaCl,3.501,1,7.28588,,21.8576,0.000693,NaCl_v2_17-16
G351.416+00.646_003,DIHCA2,NaCl,4.988,2,13.69219,,41.0766,0.001342,NaCl_v1_18-17
G351.416+00.646_003,DIHCA2,H2O,3.576,1,13.67203,,41.0161,0.001342,H2O_232
G351.416+00.646_001,DIHCA2,NaCl,2.232,1,58.52784,,175.5835,0.003827,NaCl_v1_17-16
G348.701-01.042_eb1_005,DIHCA2,NaCl,4.426,4,9.575,,28.725,0.001135,NaCl_v0_18-17
G348.701-01.042_eb1_005,DIHCA2,H2O,2.899,1,14.15926,,42.4778,0.001688,H2O_232
G348.549-00.979_eb1_004,DIHCA2,NaCl,2.741,1,19.49889,,58.4967,0.002241,NaCl_v1_17-16
G348.533-00.982_eb1_006,DIHCA2,NaCl,4.322,1,12.53332,,37.6,0.001312,NaCl_v2_17-16
G348.531-00.972_eb1_005,DIHCA2,H2O,1.863,1,12.02159,,36.0648,0.001278,H2O_232
G348.531-00.972_eb1_005,DIHCA2,NaCl,1.658,1,12.08329,,36.2499,0.001283,NaCl_v1_18-17
G348.531-00.972_eb1_002,DIHCA2,NaCl,2.919,2,35.89162,,107.6749,0.003592,NaCl_v0_18-17
G345.493+01.469_047,DIHCA2,NaCl,1.773,1,43.4437,,130.3311,0.004386,NaCl_v1_18-17
G345.493+01.469_047,DIHCA2,H2O,1.523,1,43.46951,,130.4085,0.004395,H2O_232
G345.493+01.469_044,DIHCA2,H2O,2.278,1,51.29886,,153.8966,0.005187,H2O_232
G345.493+01.469_044,DIHCA2,NaCl,0.808,1,51.16471,,153.4941,0.005165,NaCl_v1_18-17
G345.493+01.469_042,DIHCA2,NaCl,1.746,1,31.15096,,93.4529,0.003145,NaCl_v1_18-17
G345.493+01.469_042,DIHCA2,H2O,1.437,1,31.28676,,93.8603,0.003163,H2O_232
G345.493+01.469_041,DIHCA2,H2O,1.823,1,35.28149,,105.8445,0.003567,H2O_232
G345.493+01.469_041,DIHCA2,NaCl,1.117,1,35.50024,,106.5007,0.003584,NaCl_v1_18-17
G345.493+01.469_039,DIHCA2,H2O,1.337,1,33.98988,,101.9697,0.003437,H2O_232
G345.493+01.469_039,DIHCA2,NaCl,1.191,1,33.98633,,101.959,0.003431,NaCl_v1_18-17
G345.488+00.314_012,DIHCA2,NaCl,4.368,4,4.37604,,13.1281,0.000568,NaCl_v1_18-17
G345.488+00.314_012,DIHCA2,H2O,4.1,1,4.34714,,13.0414,0.000565,H2O_232
