spw,fits,ascii,nchan,freq_lo_GHz,freq_hi_GHz,dnu_kHz,T_max_K,T_med_K,sigma_K
spw25,G015.0357_spw25.fits,G015.0357_spw25.dat,1917,242.4538616486,244.32506920892988,976.6218999634,19.6219482421875,0.5008480548858643,3.6763858795166016
spw27,G015.0357_spw27.fits,G015.0357_spw27.dat,1917,244.3182720101,246.18947995377013,976.6221000366,20.479572296142578,0.1890675574541092,3.5856285095214844
spw29,G015.0357_spw29.fits,G015.0357_spw29.dat,1917,255.7672597065,257.63846975766495,976.6231999817,84.16468048095703,0.6981853246688843,4.536228179931641
spw31,G015.0357_spw31.fits,G015.0357_spw31.dat,957,258.6258545963,259.5595306578766,976.6485999756001,20.438159942626953,-0.07624059915542603,4.401082515716553
spw33,G015.0357_spw33.fits,G015.0357_spw33.dat,957,259.61582694270004,260.54950319548834,976.6487999878,31.70079803466797,0.5637826919555664,4.5429182052612305
spw25,G015.0357_spw25.fits,G015.0357_spw25.dat,3836,242.45392821410002,244.3264198871702,488.2638000183,15.417831420898438,0.1344592571258545,0.3711845576763153
spw27,G015.0357_spw27.fits,G015.0357_spw27.dat,3835,244.3193587487,246.19136215785323,488.2637999878,15.760205268859863,0.3008154630661011,0.3740347921848297
spw29,G015.0357_spw29.fits,G015.0357_spw29.dat,3836,255.7673261111,257.6398181674597,488.2638999634,28.9935245513916,0.23667208850383759,0.6333349943161011
spw31,G015.0357_spw31.fits,G015.0357_spw31.dat,1916,258.6259097103,259.5609369937299,488.26489996339996,13.934856414794922,0.32012030482292175,0.49967649579048157
spw33,G015.0357_spw33.fits,G015.0357_spw33.dat,1916,259.6158287624,260.5508562374,488.265,10.19531536102295,0.36569637060165405,0.6167468428611755
spw25,G015.0357_spw25.fits,G015.0357_spw25.dat,1918,214.75439585979998,216.6265735243,976.6185,51.986083984375,3.2035789489746094,7.628224849700928
spw27,G015.0357_spw27.fits,G015.0357_spw27.dat,1918,216.6292758859,218.50145374205323,976.6185999756,48.3279914855957,5.712956428527832,8.86919116973877
spw29,G015.0357_spw29.fits,G015.0357_spw29.dat,1918,228.39852276989998,230.2707027347649,976.6196999817,52.62442398071289,0.6346641778945923,9.321148872375488
spw31,G015.0357_spw31.fits,G015.0357_spw31.dat,1918,231.5833189743,233.4554995143,976.62,103.94032287597656,4.961477279663086,8.427624702453613
spw25,G015.0357_spw25.fits,G015.0357_spw25.dat,3837,214.755096158,216.62796485075322,488.2347999878,20.35613250732422,0.28900009393692017,0.38083288073539734
spw27,G015.0357_spw27.fits,G015.0357_spw27.dat,3837,216.6299117595,218.50278045237022,488.2348000183,35.03742980957031,0.191411554813385,0.3597032427787781
spw29,G015.0357_spw29.fits,G015.0357_spw29.dat,3836,228.3991386663,230.27151950765963,488.2348999634,27.94209098815918,0.13694724440574646,0.4217953383922577
spw31,G015.0357_spw31.fits,G015.0357_spw31.dat,3836,231.58393488579998,233.45631572715965,488.2348999634,28.182350158691406,0.23971357941627502,0.4895155727863312
