|              Line Name |                Species |           QNs | v | J$_u$ | J$_l$ |          Frequency |       Fitted Velocity | Fitted Velocity error |        Fitted Width |   Fitted Width error |   Fitted Amplitude | Fitted Amplitude error | Fitted Amplitude K | Fitted Amplitude error K | Integrated Intensity | Integrated Intensity error |               Jy/K |               EU_K |  deg |                  Aij | Flag |
| 23Na-35Clv=0-0 J=18-17 | 23Na-35Clv=0-0 J=18-17 | v=0-0 J=18-17 | 0 |    18 |    17 |         234.251912 |  0.016999767164150716 |   0.06126514634653583 |  1.1815226812548485 | 0.062408172368273764 |  34178.17625260351 |      1549.202152525186 |  991972.3909811641 |        44963.36352167159 |    2937863.286747881 |          81576.89559597714 | 29023.561223680008 |              106.9 |  592 | 0.005900000222027302 |      |
| 23Na-35Clv=1-1 J=17-16 | 23Na-35Clv=1-1 J=17-16 | v=1-1 J=17-16 | 1 |    17 |    16 |         219.614936 |   -0.0527537670660135 |   0.10006895474340727 |  1.1555093629186577 |  0.09560168621201168 |  34890.35985556819 |     2553.0227573210277 | 1090991.7505286315 |        79830.84091649424 |    3159983.898759312 |         139240.14594124292 | 31269.145834118386 |              614.5 |  560 | 0.004900000058114529 |      |
| 23Na-35Clv=1-1 J=18-17 | 23Na-35Clv=1-1 J=18-17 | v=1-1 J=18-17 | 1 |    18 |    17 | 232.50997700000002 |   -0.3298715842859002 |   0.24800153812354322 |   2.968889784523965 |   0.2480014681914735 | 16210.247743417447 |      1172.689690914928 |  454731.3447725213 |        32896.39792008483 |    3384066.594394328 |         149186.42325954686 | 28052.090996399216 |              625.7 |  592 | 0.005799999926239252 |      |
| 23Na-35Clv=2-2 J=17-16 | 23Na-35Clv=2-2 J=17-16 | v=2-2 J=17-16 | 2 |    17 |    16 |         217.980231 | -0.044358440740730296 |   0.03164465838531764 |  0.7467905576619092 |  0.03164444626798142 | 52019.769807749115 |     1908.9888079500113 |  1616552.088216198 |        59323.21221869841 |   3026066.4130002367 |          67671.94295385704 |   31075.7255210958 |             1128.4 |  560 | 0.004900000058114529 |      |
| 23Na-37Clv=4-4 J=19-18 | 23Na-37Clv=4-4 J=19-18 | v=4-4 J=19-18 | 4 |    19 |    18 |         234.904242 |     1.851771362842011 |    1.4471387010490488 |   9.465691336570075 |   1.7745331760120624 |  4831.993600520399 |        579.69535805193 |  140241.6620971338 |       16824.823715503295 |   3327509.6452631094 |          295459.5244301822 | 29023.561223680008 |             2139.8 |  624 | 0.006300000008195639 |      |
|  39K-35Clv=2-2 J=29-28 |  39K-35Clv=2-2 J=29-28 | v=2-2 J=29-28 | 2 |    29 |    28 | 219.93611261476423 |     9.337963927108424 |    1.9740343944629446 |   19.28253089738387 |    2.099566272050483 |  39871.18594026718 |      899.0861727511838 | 1246737.9277454652 |        28113.65665319612 |    60260001.99452898 |          2673153.837626373 | 31269.145834118386 |  953.5558794307203 |  944 |            0.0066713 |      |
|  39K-35Clv=3-3 J=29-28 |  39K-35Clv=3-3 J=29-28 | v=3-3 J=29-28 | 3 |    29 |    28 | 218.57970759934983 |    2.3170183903389514 |    0.9576535308666194 |  6.0764420846251435 |   0.9924191466649138 |   4949.96119376001 |      675.1544709386627 | 153823.63539736177 |       20980.915023230533 |   2342946.4803731195 |         198891.53867291933 |   31075.7255210958 | 1345.0583565643997 |  944 |            0.0066243 |      |
|  39K-35Clv=3-3 J=31-30 |  39K-35Clv=3-3 J=31-30 | v=3-3 J=31-30 | 3 |    31 |    30 | 233.60569798423805 |  0.033826213585298824 |    1.1274769116556032 |   2.476859096782444 |   1.1274764524441516 |  2698.509800655075 |     1063.8021587105302 |   78320.3644120131 |       30875.327083218028 |   486257.07674305956 |         116815.70342257884 | 29023.561223680008 | 1367.1190419652214 | 1008 |            0.0080975 |      |
|  39K-35Clv=4-4 J=29-28 |  39K-35Clv=4-4 J=29-28 | v=4-4 J=29-28 | 4 |    29 |    28 | 217.22891175712175 |   -1.7605446070493649 |    1.2595388590179886 |   6.804932838883209 |   1.3294896918396666 | 4013.9955349245806 |       643.399844971428 | 124737.82348622037 |       19994.116982647687 |    2127707.573231062 |          214508.9165599186 |   31075.7255210958 |  1733.213093745079 |  944 |            0.0065775 |      |
|  39K-35Clv=4-4 J=31-30 |  39K-35Clv=4-4 J=31-30 | v=4-4 J=31-30 | 4 |    31 |    30 | 232.16184645668199 |   -0.4837944560888913 |    0.7164519951354127 |  1.9891248808678923 |   0.7164515291292799 |   4596.42773005235 |     1433.7478133839536 |  128939.4089418012 |        40219.62412693507 |    642891.4633777576 |          122205.3447347858 | 28052.090996399216 | 1755.1374506752938 | 1008 |            0.0080403 |      |
|  39K-37Clv=0-0 J=31-30 |  39K-37Clv=0-0 J=31-30 | v=0-0 J=31-30 | 0 |    31 |    30 | 231.21883930648752 |    0.6189184413897763 |    1.6962153931395014 |   5.559046365581175 |   1.7089044429427636 | 3256.2077189632955 |      861.2721289863852 |  91343.43523553589 |        24160.48413498856 |     1272821.70030926 |         205925.50015111823 | 28052.090996399216 | 177.67434349526533 | 1008 |            0.0075851 |      |
|  39K-37Clv=3-3 J=30-29 |  39K-37Clv=3-3 J=30-29 | v=3-3 J=30-29 | 3 |    30 |    29 |  219.7347580948684 |    -5.770316087681062 |     9.530813030038702 |   18.44240609495135 |   15.538327229069779 | 3949.1086505267485 |      815.8738548496657 | 123485.25430809936 |       25511.678549538534 |    5708508.018745788 |         1975597.4290501145 | 31269.145834118386 | 1334.4294262712083 |  976 |            0.0067303 |      |
|  39K-37Clv=3-3 J=32-31 |  39K-37Clv=3-3 J=32-31 | v=3-3 J=32-31 | 3 |    32 |    31 | 234.33493147880353 |    -1.013789859504676 |     0.708232761932879 |  1.0189587972800818 |   0.7708289104772278 | 2719.2933111486286 |      1718.360824355906 |  78923.57590126575 |        49872.95059006689 |   201582.72494074857 |           79269.2047785906 | 29023.561223680008 | 1356.5702932951817 | 1040 |            0.0081735 |      |
|  39K-37Clv=4-4 J=30-29 |  39K-37Clv=4-4 J=30-29 | v=4-4 J=30-29 | 4 |    30 |    29 |  218.3965682524781 |   -0.9620798180013865 |                   nan |   0.990081075904912 |                  nan |                0.0 |                    nan |                0.0 |                      nan |                  0.0 |                        nan |   31075.7255210958 | 1717.1701061368606 |  976 |            0.0066834 |      |
|  41K-35Clv=0-0 J=29-28 |  41K-35Clv=0-0 J=29-28 | v=0-0 J=29-28 | 0 |    29 |    28 | 217.54316883063962 |    1.1906007724071141 |    0.5856814368223147 |  0.6068047676849103 |   0.6080015719586221 |  2524.034794652453 |     2151.7026433008245 |  78436.21248431502 |        66865.72074623272 |    119304.1450676435 |         62614.361187600516 |   31075.7255210958 |  156.7030974292071 |  944 |             0.006309 |      |
|  41K-35Clv=0-0 J=31-30 |  41K-35Clv=0-0 J=31-30 | v=0-0 J=31-30 | 0 |    31 |    30 | 232.49980161177257 |    15.000000000020783 |                   0.0 |   3.793753114804734 |   0.3123275017189745 | 23059.035353047966 |     1968.9452300295945 |  646854.1580128882 |        55233.03075971637 |    6151278.260896447 |            291072.96912069 | 28052.090996399216 | 178.65951607397443 | 1008 |            0.0077121 |      |
|  41K-35Clv=1-1 J=31-30 |  41K-35Clv=1-1 J=31-30 | v=1-1 J=31-30 | 1 |    31 |    30 | 231.08814961918307 |    0.3756680974673298 |                   nan | 0.22612295630103318 |                  nan |                0.0 |                    nan |                0.0 |                      nan |                  0.0 |                        nan | 28052.090996399216 |  572.2485052486196 | 1008 |            0.0076587 |      |
|  41K-35Clv=4-4 J=30-29 |  41K-35Clv=4-4 J=30-29 | v=4-4 J=30-29 | 4 |    30 |    29 | 219.59177027727014 |   -1.7992853756093519 |    0.9029318155922974 |  1.1146054783753565 |   0.8542409053635349 |  3808.883153345457 |     2590.0186463464565 | 119100.52278707578 |        80987.67076569324 |   332755.14202772605 |         136013.54327123114 | 31269.145834118386 | 1722.2835668932391 |  976 |            0.0067948 |      |
|  41K-35Clv=4-4 J=32-31 |  41K-35Clv=4-4 J=32-31 | v=4-4 J=32-31 | 4 |    32 |    31 |  234.1819235089029 |    -4.510031226005071 |    2.3968315810701943 |   10.18702863426349 |   2.9262363429679756 | 3462.2795572538475 |      565.3764163843001 | 100487.68270345275 |       16409.237035354538 |    2565962.424591337 |         338243.61390843877 | 29023.561223680008 |  1744.409990031358 | 1040 |            0.0082518 |      |
|  41K-37Clv=0-0 J=30-29 |  41K-37Clv=0-0 J=30-29 | v=0-0 J=30-29 | 0 |    30 |    29 | 218.48413771123413 |   -15.000000000020888 |                   0.0 |   8.465949643167747 |    3.710075550116178 | 2073.3178173015954 |      757.6424333455791 | 64429.855408461815 |       23544.288301782337 |    1367265.236604533 |          311239.9474946167 |   31075.7255210958 | 162.63109752524068 |  976 |            0.0063947 |      |
