|              Line Name | v | J$_u$ | J$_l$ |          Frequency |     Fitted Velocity | Fitted Velocity error |       Fitted Width | Fitted Width error | Fitted Amplitude K | Fitted Amplitude error K | Integrated Intensity | Integrated Intensity error |               EU_K |  Flag |
|  41K-37Clv=1-1 J=30-29 | 1 |    30 |    29 | 217.17723397093303 |  -306248.3518115102 |     2480.379275769867 | 2760.8092479907373 |                0.0 |  4.404596543233223 |       2.7981618162150093 |   30481.228657915508 |          7725.191019580955 |  550.5865683587472 | False |
|  39K-35Clv=4-4 J=29-28 | 4 |    29 |    28 | 217.22891175712175 | -297491.90239631786 |    1426.2269393440165 |  6829.884924354128 |  1430.565032198775 |  12.05077109555518 |       2.1803045094348628 |   206308.99224207478 |         22780.386636090065 |  1733.213093745079 |  True |
|  41K-35Clv=0-0 J=29-28 | 0 |    29 |    28 | 217.54316883063962 | -301190.63356311125 |    1560.5005901247046 |  2756.165221013146 |                0.0 |  6.983389875784063 |        2.795807412725295 |   48246.017647073706 |          7705.707155604206 |  156.7030974292071 | False |
| 23Na-35Clv=2-2 J=17-16 | 2 |    17 |    16 |         217.980231 | -299248.91049247514 |     463.0149991441825 |   7885.58271654781 | 467.34940612394973 |  39.79108292357208 |       2.0258519037054152 |      786519.48211432 |         24515.814800560165 |             1128.4 |  True |
|  39K-37Clv=4-4 J=30-29 | 4 |    30 |    29 |  218.3965682524781 |  -288705.2301932853 |    1502.7276125951319 |  3190.566672739697 |  1503.327755079355 |    7.7722176695849 |       3.1704795048897303 |      62158.813161903 |         15454.649880531351 | 1717.1701061368606 | False |
|  41K-37Clv=0-0 J=30-29 | 0 |    30 |    29 | 218.48413771123413 |  -289368.7739739129 |    1889.6008690766257 |  6123.779160199332 | 2010.5830936107293 |  8.804735097083752 |        2.328591675549949 |   135153.01823697973 |         22731.591021273867 | 162.63109752524068 | False |
|  39K-35Clv=3-3 J=29-28 | 3 |    29 |    28 | 218.57970759934983 |   -303385.024867518 |    1106.7061573063843 | 10428.425825955648 | 1228.3437156421921 |  20.20185397211782 |        1.807297811661402 |    528080.2412896159 |         31160.791722324364 | 1345.0583565643997 |  True |
|  41K-35Clv=4-4 J=30-29 | 4 |    30 |    29 | 219.59177027727014 |  -304966.7070469627 |    3679.6996189841375 |  7199.080718435577 |  3873.198596609376 |  6.948350584161905 |       3.0595285720753194 |   125385.89959689544 |          34776.56828070323 | 1722.2835668932391 | False |
| 23Na-35Clv=1-1 J=17-16 | 1 |    17 |    16 |         219.614936 |  -299904.8651427915 |    483.91502805648014 |  5597.471494765791 | 483.95933874396746 |  45.66360657041842 |       3.4189175176797053 |    640696.0321902223 |         29233.821712080062 |              614.5 |  True |
|  39K-37Clv=3-3 J=30-29 | 3 |    30 |    29 |  219.7347580948684 |  -295264.8757184164 |     3060.942966046917 | 13643.378981060767 |                0.0 | 12.795674485506993 |       1.8284338647211902 |    437597.7300485564 |          24946.01615819679 | 1334.4294262712083 |  True |
|  39K-35Clv=2-2 J=29-28 | 2 |    29 |    28 | 219.93611261476423 | -309725.75357588014 |     844.2858799754193 | 11216.955870499869 |  876.8064113790007 |  61.58482076054253 |       2.5305006156234238 |   1731564.3156913405 |          61003.77790178685 |  953.5558794307203 |  True |
|  41K-37Clv=4-4 J=31-30 | 4 |    31 |    30 | 220.37552136846418 | -302727.97717771976 |     4638.684755138328 |  11386.03013394838 |  5316.338775898708 |  7.436307367027039 |        2.491680281252284 |   212236.26555970358 |         48660.128791690775 | 1705.7557343372182 | False |
|  41K-35Clv=1-1 J=31-30 | 1 |    31 |    30 | 231.08814961918307 |  -300568.7137967699 |                   nan | 2594.6155914445358 |                nan |                0.0 |                      nan |                  0.0 |                        nan |  572.2485052486196 | False |
|  39K-37Clv=0-0 J=31-30 | 0 |    31 |    30 | 231.21883930648752 |  -302689.2098244843 |    1050.6517708497988 |  4841.602019609558 |  1050.754489327792 | 17.876480849197776 |        3.359601028649745 |   216950.69696773283 |          24847.71163970174 | 177.67434349526533 |  True |
|  41K-37Clv=1-1 J=32-31 | 1 |    32 |    31 | 231.60913136874447 |  -311246.1544089203 |     4939.898598218488 | 5489.9015034317745 |  5533.433470182028 |  4.883992579520347 |        3.284959157510911 |    67209.31704225074 |         32489.888775844287 |  572.4699417160379 | False |
|  39K-35Clv=4-4 J=31-30 | 4 |    31 |    30 | 232.16184645668199 |  -301151.0512449909 |    1495.8087290026072 |  4614.524330600062 | 1495.8375238189033 | 12.208405567188525 |        3.427225054563877 |   141213.37169611861 |         24157.973114389883 | 1755.1374506752938 | False |
|  41K-35Clv=0-0 J=31-30 | 0 |    31 |    30 | 232.49980161177257 | -316888.71257135825 |    1698.0136706926435 | 12894.310271309068 |                0.0 | 39.437204362058665 |       3.5331803537640116 |   1274659.4539082642 |           45557.9237259267 | 178.65951607397443 |  True |
